219: reward=0.00 vs 91.52, recent_win=0 vs 50, winner=blue, win=3 vs 216, draw=0, time=111/18684
220: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=3 vs 217, draw=0, time=65/18749
221: reward=0.00 vs 91.37, recent_win=0 vs 50, winner=blue, win=3 vs 218, draw=0, time=114/18863
222: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=3 vs 219, draw=0, time=76/18939
223: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=3 vs 220, draw=0, time=72/19011
224: reward=0.00 vs 91.29, recent_win=0 vs 50, winner=blue, win=3 vs 221, draw=0, time=115/19126
225: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=3 vs 222, draw=0, time=108/19234
226: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=3 vs 223, draw=0, time=76/19310
227: reward=0.00 vs 95.30, recent_win=0 vs 50, winner=blue, win=3 vs 224, draw=0, time=59/19370
228: reward=0.00 vs 94.60, recent_win=0 vs 50, winner=blue, win=3 vs 225, draw=0, time=69/19438
229: reward=0.00 vs 91.22, recent_win=0 vs 50, winner=blue, win=3 vs 226, draw=0, time=116/19554
230: reward=0.00 vs 93.47, recent_win=0 vs 50, winner=blue, win=3 vs 227, draw=0, time=84/19638
231: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=3 vs 228, draw=0, time=76/19714
232: reward=0.00 vs 94.27, recent_win=0 vs 50, winner=blue, win=3 vs 229, draw=0, time=73/19787
233: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=3 vs 230, draw=0, time=77/19865
234: reward=0.00 vs 95.00, recent_win=0 vs 50, winner=blue, win=3 vs 231, draw=0, time=63/19928
235: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=3 vs 232, draw=0, time=76/20004
236: reward=0.00 vs 95.08, recent_win=0 vs 50, winner=blue, win=3 vs 233, draw=0, time=62/20067
237: reward=0.00 vs 92.60, recent_win=0 vs 50, winner=blue, win=3 vs 234, draw=0, time=96/20163
238: reward=0.00 vs 95.68, recent_win=0 vs 50, winner=blue, win=3 vs 235, draw=0, time=54/20217
239: reward=0.00 vs 91.29, recent_win=0 vs 50, winner=blue, win=3 vs 236, draw=0, time=115/20332
240: reward=0.00 vs 93.39, recent_win=0 vs 50, winner=blue, win=3 vs 237, draw=0, time=85/20417
241: reward=0.00 vs 92.99, recent_win=0 vs 50, winner=blue, win=3 vs 238, draw=0, time=91/20507
242: reward=0.00 vs 94.68, recent_win=0 vs 50, winner=blue, win=3 vs 239, draw=0, time=68/20575
243: reward=0.00 vs 92.37, recent_win=0 vs 50, winner=blue, win=3 vs 240, draw=0, time=99/20674
244: reward=0.00 vs 91.37, recent_win=0 vs 50, winner=blue, win=3 vs 241, draw=0, time=114/20788
245: reward=0.00 vs 94.60, recent_win=0 vs 50, winner=blue, win=3 vs 242, draw=0, time=69/20857
246: reward=0.00 vs 93.39, recent_win=0 vs 50, winner=blue, win=3 vs 243, draw=0, time=85/20942
247: reward=0.00 vs 92.06, recent_win=0 vs 50, winner=blue, win=3 vs 244, draw=0, time=104/21045
248: reward=0.00 vs 93.55, recent_win=0 vs 50, winner=blue, win=3 vs 245, draw=0, time=83/21128
249: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=3 vs 246, draw=0, time=72/21200
250: reward=0.00 vs 93.95, recent_win=0 vs 50, winner=blue, win=3 vs 247, draw=0, time=77/21278
251: reward=0.00 vs 95.15, recent_win=0 vs 50, winner=blue, win=3 vs 248, draw=0, time=61/21339
252: reward=0.00 vs 95.23, recent_win=0 vs 50, winner=blue, win=3 vs 249, draw=0, time=60/21399
253: reward=0.00 vs 95.30, recent_win=0 vs 50, winner=blue, win=3 vs 250, draw=0, time=59/21458
254: reward=0.00 vs 90.84, recent_win=0 vs 50, winner=blue, win=3 vs 251, draw=0, time=121/21580
