181: reward=1.05 vs 3.80, win=23 vs 111, recent_win=4 vs 42, draw=47, winner=blue, time=126/20899
182: reward=2.30 vs 2.70, win=24 vs 111, recent_win=4 vs 42, draw=47, winner=red, time=119/21018
183: reward=-1.05 vs 3.00, win=24 vs 112, recent_win=4 vs 42, draw=47, winner=blue, time=80/21097
184: reward=2.85 vs 5.60, win=24 vs 113, recent_win=4 vs 42, draw=47, winner=blue, time=173/21270
185: reward=1.35 vs 3.80, win=24 vs 113, recent_win=4 vs 41, draw=48, winner=draw, time=118/21389
186: reward=5.75 vs 5.30, win=24 vs 114, recent_win=4 vs 41, draw=48, winner=blue, time=245/21633
187: reward=1.10 vs 1.80, win=24 vs 115, recent_win=3 vs 42, draw=48, winner=blue, time=96/21729
188: reward=-1.65 vs 3.00, win=24 vs 116, recent_win=3 vs 42, draw=48, winner=blue, time=99/21829
189: reward=-0.50 vs 3.80, win=24 vs 117, recent_win=3 vs 42, draw=48, winner=blue, time=91/21919
190: reward=6.50 vs 5.20, win=24 vs 118, recent_win=3 vs 42, draw=48, winner=blue, time=297/22216
191: reward=1.65 vs 2.80, win=24 vs 119, recent_win=3 vs 42, draw=48, winner=blue, time=107/22323
192: reward=1.20 vs 2.80, win=24 vs 120, recent_win=3 vs 42, draw=48, winner=blue, time=97/22420
193: reward=1.50 vs 1.80, win=24 vs 121, recent_win=3 vs 42, draw=48, winner=blue, time=77/22498
194: reward=1.55 vs 2.80, win=24 vs 122, recent_win=3 vs 42, draw=48, winner=blue, time=98/22596
195: reward=4.30 vs 3.70, win=25 vs 122, recent_win=4 vs 41, draw=48, winner=red, time=168/22763
196: reward=0.60 vs 2.80, win=25 vs 123, recent_win=4 vs 41, draw=48, winner=blue, time=80/22843
197: reward=1.50 vs 3.80, win=25 vs 124, recent_win=4 vs 41, draw=48, winner=blue, time=104/22947
198: reward=2.55 vs 5.50, win=25 vs 125, recent_win=4 vs 41, draw=48, winner=blue, time=199/23146
199: reward=0.95 vs 2.80, win=25 vs 126, recent_win=4 vs 41, draw=48, winner=blue, time=104/23250
200: reward=0.65 vs 1.90, win=25 vs 127, recent_win=4 vs 41, draw=48, winner=blue, time=86/23336
201: reward=0.95 vs 0.90, win=25 vs 128, recent_win=4 vs 42, draw=48, winner=blue, time=76/23413
202: reward=1.60 vs 1.80, win=25 vs 129, recent_win=4 vs 42, draw=48, winner=blue, time=75/23488
203: reward=0.85 vs 2.80, win=25 vs 130, recent_win=3 vs 43, draw=48, winner=blue, time=81/23569
204: reward=-0.20 vs 0.90, win=25 vs 131, recent_win=3 vs 43, draw=48, winner=blue, time=65/23634
205: reward=0.50 vs 2.90, win=25 vs 132, recent_win=3 vs 43, draw=48, winner=blue, time=76/23710
206: reward=0.70 vs 2.80, win=25 vs 133, recent_win=3 vs 43, draw=48, winner=blue, time=84/23794
207: reward=0.25 vs 6.60, win=25 vs 134, recent_win=3 vs 43, draw=48, winner=blue, time=154/23949
208: reward=3.90 vs 1.70, win=25 vs 134, recent_win=3 vs 42, draw=49, winner=draw, time=150/24099
209: reward=5.00 vs 10.20, win=25 vs 135, recent_win=3 vs 42, draw=49, winner=blue, time=287/24385
210: reward=3.85 vs 0.60, win=25 vs 136, recent_win=3 vs 42, draw=49, winner=blue, time=92/24477
211: reward=4.40 vs 8.20, win=25 vs 137, recent_win=3 vs 42, draw=49, winner=blue, time=299/24775
212: reward=0.05 vs 2.80, win=25 vs 138, recent_win=3 vs 42, draw=49, winner=blue, time=86/24862
213: reward=0.65 vs 1.90, win=25 vs 139, recent_win=3 vs 43, draw=49, winner=blue, time=98/24960
214: reward=6.80 vs 14.90, win=25 vs 140, recent_win=3 vs 43, draw=49, winner=blue, time=411/25371
215: reward=1.60 vs 2.80, win=25 vs 141, recent_win=3 vs 43, draw=49, winner=blue, time=104/25474
216: reward=-0.25 vs 1.80, win=25 vs 142, recent_win=3 vs 44, draw=49, winner=blue, time=62/25537
217: reward=0.90 vs 1.90, win=25 vs 143, recent_win=3 vs 44, draw=49, winner=blue, time=86/25623
218: reward=-0.30 vs 4.00, win=25 vs 144, recent_win=3 vs 45, draw=49, winner=blue, time=94/25717
219: reward=8.90 vs 9.90, win=25 vs 145, recent_win=3 vs 45, draw=49, winner=blue, time=398/26114
220: reward=1.55 vs 1.80, win=25 vs 146, recent_win=3 vs 45, draw=49, winner=blue, time=104/26218
221: reward=1.75 vs 7.50, win=25 vs 147, recent_win=3 vs 45, draw=49, winner=blue, time=231/26449
222: reward=5.15 vs 3.50, win=26 vs 147, recent_win=4 vs 44, draw=49, winner=red, time=152/26602
223: reward=-0.10 vs 2.90, win=26 vs 148, recent_win=4 vs 44, draw=49, winner=blue, time=77/26679
224: reward=0.25 vs 2.90, win=26 vs 149, recent_win=4 vs 44, draw=49, winner=blue, time=76/26755
225: reward=-1.10 vs 4.00, win=26 vs 150, recent_win=4 vs 44, draw=49, winner=blue, time=78/26834
226: reward=5.55 vs 7.20, win=26 vs 151, recent_win=4 vs 44, draw=49, winner=blue, time=282/27115
227: reward=1.00 vs 2.80, win=26 vs 152, recent_win=4 vs 44, draw=49, winner=blue, time=87/27203
228: reward=2.45 vs 13.40, win=26 vs 153, recent_win=4 vs 44, draw=49, winner=blue, time=297/27499
229: reward=0.65 vs 2.80, win=26 vs 154, recent_win=3 vs 45, draw=49, winner=blue, time=83/27582
230: reward=1.25 vs 1.80, win=26 vs 155, recent_win=3 vs 45, draw=49, winner=blue, time=74/27656
231: reward=2.95 vs 2.70, win=27 vs 155, recent_win=4 vs 44, draw=49, winner=red, time=169/27825
232: reward=1.30 vs 3.80, win=27 vs 155, recent_win=3 vs 44, draw=50, winner=draw, time=95/27920
233: reward=1.35 vs 2.80, win=27 vs 156, recent_win=3 vs 44, draw=50, winner=blue, time=102/28022
234: reward=3.65 vs 2.50, win=27 vs 157, recent_win=3 vs 44, draw=50, winner=blue, time=174/28196
235: reward=3.65 vs 5.50, win=27 vs 158, recent_win=3 vs 45, draw=50, winner=blue, time=173/28369
236: reward=3.10 vs 4.70, win=28 vs 158, recent_win=4 vs 44, draw=50, winner=red, time=175/28544
237: reward=-0.30 vs 4.00, win=28 vs 159, recent_win=4 vs 44, draw=50, winner=blue, time=84/28628
238: reward=5.95 vs 9.20, win=28 vs 160, recent_win=4 vs 44, draw=50, winner=blue, time=278/28906
239: reward=4.70 vs 2.70, win=29 vs 160, recent_win=5 vs 43, draw=50, winner=red, time=163/29069
240: reward=1.85 vs 0.80, win=29 vs 161, recent_win=5 vs 43, draw=50, winner=blue, time=70/29139
241: reward=1.10 vs 1.80, win=29 vs 162, recent_win=5 vs 43, draw=50, winner=blue, time=70/29208
242: reward=0.80 vs 2.90, win=29 vs 163, recent_win=5 vs 43, draw=50, winner=blue, time=87/29296
243: reward=0.85 vs 1.90, win=29 vs 164, recent_win=5 vs 43, draw=50, winner=blue, time=82/29378
244: reward=1.20 vs 3.80, win=29 vs 165, recent_win=5 vs 43, draw=50, winner=blue, time=99/29477
245: reward=1.00 vs 2.80, win=29 vs 166, recent_win=4 vs 44, draw=50, winner=blue, time=96/29573
246: reward=1.50 vs 1.80, win=29 vs 167, recent_win=4 vs 44, draw=50, winner=blue, time=75/29648
247: reward=1.15 vs 1.80, win=29 vs 168, recent_win=4 vs 44, draw=50, winner=blue, time=72/29720
248: reward=4.75 vs 9.30, win=29 vs 169, recent_win=4 vs 44, draw=50, winner=blue, time=269/29989
249: reward=-0.10 vs 2.90, win=29 vs 170, recent_win=4 vs 44, draw=50, winner=blue, time=80/30068
250: reward=1.70 vs 2.90, win=30 vs 170, recent_win=5 vs 43, draw=50, winner=red, time=72/30140
251: reward=0.90 vs 2.90, win=30 vs 170, recent_win=5 vs 42, draw=51, winner=draw, time=57/30197
252: reward=5.45 vs 13.00, win=30 vs 171, recent_win=5 vs 42, draw=51, winner=blue, time=383/30580
253: reward=6.85 vs 5.40, win=31 vs 171, recent_win=6 vs 41, draw=51, winner=red, time=304/30884
