249: reward=78.55 vs -30.28, winner=red, r_win=15:31:4, win=76:147:26, time=298/105856
250: reward=76.46 vs -29.62, winner=red, r_win=16:30:4, win=77:147:26, time=347/106202
251: reward=-29.52 vs 71.54, winner=blue, r_win=16:30:4, win=77:148:26, time=549/106751
252: reward=-31.30 vs 77.80, winner=blue, r_win=15:31:4, win=77:149:26, time=359/107109
253: reward=-29.33 vs 67.77, winner=blue, r_win=15:31:4, win=77:150:26, time=761/107870
254: reward=-29.78 vs 72.51, winner=blue, r_win=15:31:4, win=77:151:26, time=515/108385
255: reward=-34.04 vs 83.15, winner=blue, r_win=14:32:4, win=77:152:26, time=271/108655
256: reward=-17.03 vs -14.23, winner=draw, r_win=13:32:5, win=77:152:27, time=345/109000
257: reward=-30.13 vs 73.53, winner=blue, r_win=13:32:5, win=77:153:27, time=484/109483
258: reward=-30.73 vs 73.82, winner=blue, r_win=12:33:5, win=77:154:27, time=498/109981
259: reward=71.09 vs -26.82, winner=red, r_win=13:32:5, win=78:154:27, time=446/110427
260: reward=-25.81 vs 58.98, winner=blue, r_win=13:32:5, win=78:155:27, time=1349/111776
261: reward=-32.56 vs 78.10, winner=blue, r_win=13:32:5, win=78:156:27, time=395/112170
262: reward=-29.28 vs 71.24, winner=blue, r_win=13:32:5, win=78:157:27, time=552/112722
263: reward=73.30 vs -28.24, winner=red, r_win=13:32:5, win=79:157:27, time=414/113136
264: reward=-30.96 vs 75.31, winner=blue, r_win=13:32:5, win=79:158:27, time=443/113578
265: reward=-30.49 vs 71.72, winner=blue, r_win=13:32:5, win=79:159:27, time=590/114168
266: reward=-17.09 vs -14.49, winner=draw, r_win=13:31:6, win=79:159:28, time=328/114495
267: reward=-32.52 vs 80.10, winner=blue, r_win=13:31:6, win=79:160:28, time=321/114816
268: reward=79.00 vs -30.76, winner=red, r_win=14:30:6, win=80:160:28, time=299/115115
269: reward=-33.79 vs 82.52, winner=blue, r_win=14:30:6, win=80:161:28, time=283/115397
270: reward=-30.35 vs 73.04, winner=blue, r_win=14:30:6, win=80:162:28, time=517/115914
271: reward=-30.30 vs 73.19, winner=blue, r_win=13:31:6, win=80:163:28, time=507/116420
272: reward=75.78 vs -29.11, winner=red, r_win=13:31:6, win=81:163:28, time=353/116773
273: reward=-30.34 vs 72.41, winner=blue, r_win=13:31:6, win=81:164:28, time=547/117320
274: reward=-17.02 vs -13.82, winner=draw, r_win=13:30:7, win=81:164:29, time=368/117687
275: reward=-32.61 vs 79.73, winner=blue, r_win=12:31:7, win=81:165:29, time=337/118024
276: reward=-29.89 vs 72.32, winner=blue, r_win=12:31:7, win=81:166:29, time=529/118552
277: reward=-30.73 vs 72.32, winner=blue, r_win=12:31:7, win=81:167:29, time=571/119123
278: reward=77.86 vs -30.49, winner=red, r_win=13:31:6, win=82:167:29, time=328/119451
279: reward=75.58 vs -29.21, winner=red, r_win=13:31:6, win=83:167:29, time=364/119814
280: reward=-31.04 vs 75.06, winner=blue, r_win=12:32:6, win=83:168:29, time=457/120271
281: reward=79.56 vs -31.04, winner=red, r_win=12:32:6, win=84:168:29, time=290/120560
282: reward=-29.12 vs 70.84, winner=blue, r_win=11:33:6, win=84:169:29, time=564/121124
283: reward=-30.31 vs 73.38, winner=blue, r_win=11:33:6, win=84:170:29, time=499/121623
284: reward=-33.52 vs 81.85, winner=blue, r_win=11:34:5, win=84:171:29, time=296/121918
285: reward=80.36 vs -31.18, winner=red, r_win=12:33:5, win=85:171:29, time=269/122187
286: reward=-30.27 vs 73.43, winner=blue, r_win=12:33:5, win=85:172:29, time=495/122681
287: reward=80.66 vs -31.43, winner=red, r_win=13:32:5, win=86:172:29, time=267/122948
288: reward=69.31 vs -25.86, winner=red, r_win=14:31:5, win=87:172:29, time=482/123430
289: reward=-17.45 vs -12.05, winner=draw, r_win=14:30:6, win=87:172:30, time=447/123876
290: reward=-30.15 vs 72.84, winner=blue, r_win=14:31:5, win=87:173:30, time=517/124393
291: reward=-31.11 vs 77.01, winner=blue, r_win=13:32:5, win=87:174:30, time=381/124773
292: reward=76.83 vs -29.71, winner=red, r_win=14:31:5, win=88:174:30, time=337/125110
293: reward=71.00 vs -27.08, winner=red, r_win=15:30:5, win=89:174:30, time=461/125571
