237: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:237:0, time=76/20812
238: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:238:0, time=75/20887
239: reward=0.00 vs 19.77, winner=blue, r_win=0:50:0, win=0:239:0, time=78/20965
240: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:240:0, time=72/21037
241: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:241:0, time=76/21114
242: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:242:0, time=76/21190
243: reward=0.00 vs 20.06, winner=blue, r_win=0:50:0, win=0:243:0, time=59/21249
244: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:244:0, time=75/21324
245: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:245:0, time=73/21397
246: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:246:0, time=76/21474
247: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:247:0, time=80/21553
248: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:248:0, time=73/21626
249: reward=0.00 vs 20.44, winner=blue, r_win=0:50:0, win=0:249:0, time=68/21694
250: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:250:0, time=69/21762
251: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:251:0, time=80/21842
252: reward=0.00 vs 19.24, winner=blue, r_win=0:50:0, win=0:252:0, time=116/21958
253: reward=0.00 vs 19.73, winner=blue, r_win=0:50:0, win=0:253:0, time=117/22075
254: reward=0.00 vs 19.68, winner=blue, r_win=0:50:0, win=0:254:0, time=120/22195
255: reward=0.00 vs 19.68, winner=blue, r_win=0:50:0, win=0:255:0, time=120/22315
256: reward=0.00 vs 20.44, winner=blue, r_win=0:50:0, win=0:256:0, time=68/22383
257: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:257:0, time=77/22460
258: reward=0.00 vs 19.66, winner=blue, r_win=0:50:0, win=0:258:0, time=86/22546
259: reward=0.00 vs 19.97, winner=blue, r_win=0:50:0, win=0:259:0, time=99/22646
260: reward=0.00 vs 19.80, winner=blue, r_win=0:50:0, win=0:260:0, time=111/22757
261: reward=0.00 vs 19.64, winner=blue, r_win=0:50:0, win=0:261:0, time=124/22881
262: reward=0.00 vs 19.87, winner=blue, r_win=0:50:0, win=0:262:0, time=107/22988
263: reward=0.00 vs 20.37, winner=blue, r_win=0:50:0, win=0:263:0, time=72/23060
264: reward=0.00 vs 19.61, winner=blue, r_win=0:50:0, win=0:264:0, time=89/23149
265: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:265:0, time=76/23226
266: reward=0.00 vs 20.16, winner=blue, r_win=0:50:0, win=0:266:0, time=86/23312
267: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:267:0, time=74/23386
268: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:268:0, time=76/23462
269: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:269:0, time=75/23538
270: reward=0.00 vs 19.73, winner=blue, r_win=0:50:0, win=0:270:0, time=117/23655
271: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:271:0, time=70/23724
272: reward=0.00 vs 19.97, winner=blue, r_win=0:50:0, win=0:272:0, time=99/23824
273: reward=0.00 vs 20.44, winner=blue, r_win=0:50:0, win=0:273:0, time=68/23891
274: reward=0.00 vs 20.39, winner=blue, r_win=0:50:0, win=0:274:0, time=71/23962
275: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:275:0, time=70/24032
276: reward=0.00 vs 19.65, winner=blue, r_win=0:50:0, win=0:276:0, time=122/24154
277: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:277:0, time=70/24224
278: reward=0.00 vs 20.31, winner=blue, r_win=0:50:0, win=0:278:0, time=76/24300
279: reward=0.00 vs 19.79, winner=blue, r_win=0:50:0, win=0:279:0, time=113/24413
280: reward=0.00 vs 19.71, winner=blue, r_win=0:50:0, win=0:280:0, time=118/24531
281: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:281:0, time=69/24599
282: reward=0.00 vs 20.29, winner=blue, r_win=0:50:0, win=0:282:0, time=77/24677
283: reward=0.00 vs 20.40, winner=blue, r_win=0:50:0, win=0:283:0, time=70/24747
284: reward=0.00 vs 20.21, winner=blue, r_win=0:50:0, win=0:284:0, time=83/24829
285: reward=0.00 vs 20.26, winner=blue, r_win=0:50:0, win=0:285:0, time=80/24909
286: reward=0.00 vs 20.42, winner=blue, r_win=0:50:0, win=0:286:0, time=69/24978
287: reward=0.00 vs 20.32, winner=blue, r_win=0:50:0, win=0:287:0, time=75/25053
288: reward=0.00 vs 20.34, winner=blue, r_win=0:50:0, win=0:288:0, time=74/25127
289: reward=0.00 vs 20.23, winner=blue, r_win=0:50:0, win=0:289:0, time=82/25209
290: reward=0.00 vs 20.08, winner=blue, r_win=0:50:0, win=0:290:0, time=92/25300
291: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:291:0, time=73/25373
292: reward=0.00 vs 20.10, winner=blue, r_win=0:50:0, win=0:292:0, time=91/25464
293: reward=0.00 vs 19.64, winner=blue, r_win=0:50:0, win=0:293:0, time=124/25588
294: reward=0.00 vs 19.67, winner=blue, r_win=0:50:0, win=0:294:0, time=121/25709
295: reward=0.00 vs 19.76, winner=blue, r_win=0:50:0, win=0:295:0, time=115/25824
296: reward=0.00 vs 19.74, winner=blue, r_win=0:50:0, win=0:296:0, time=116/25940
297: reward=0.00 vs 19.82, winner=blue, r_win=0:50:0, win=0:297:0, time=110/26050
298: reward=0.00 vs 20.35, winner=blue, r_win=0:50:0, win=0:298:0, time=73/26123
