264: reward=94.78 vs 1.50, winner=red, r_win=9:27:14, win=29:166:69, time=82/31782
265: reward=1.23 vs 92.33, winner=blue, r_win=9:27:14, win=29:167:69, time=138/31920
266: reward=0.10 vs 1.00, winner=draw, r_win=9:26:15, win=29:167:70, time=118/32038
267: reward=1.73 vs 2.43, winner=draw, r_win=9:26:15, win=29:167:71, time=150/32188
268: reward=0.18 vs 93.17, winner=blue, r_win=9:26:15, win=29:168:71, time=119/32307
269: reward=1.21 vs 93.58, winner=blue, r_win=9:26:15, win=29:169:71, time=117/32424
270: reward=1.71 vs 2.23, winner=draw, r_win=9:26:15, win=29:169:72, time=151/32576
271: reward=1.15 vs 93.71, winner=blue, r_win=8:27:15, win=29:170:72, time=104/32679
272: reward=2.08 vs 91.86, winner=blue, r_win=8:27:15, win=29:171:72, time=148/32827
273: reward=0.18 vs 1.83, winner=draw, r_win=8:26:16, win=29:171:73, time=82/32909
274: reward=1.21 vs 2.18, winner=draw, r_win=8:25:17, win=29:171:74, time=115/33024
275: reward=1.71 vs 92.20, winner=blue, r_win=8:25:17, win=29:172:74, time=138/33162
276: reward=2.02 vs 93.54, winner=blue, r_win=8:26:16, win=29:173:74, time=111/33273
277: reward=1.71 vs 91.84, winner=blue, r_win=8:27:15, win=29:174:74, time=143/33417
278: reward=1.18 vs 1.93, winner=draw, r_win=8:26:16, win=29:174:75, time=91/33507
279: reward=2.04 vs 93.76, winner=blue, r_win=7:27:16, win=29:175:75, time=115/33622
280: reward=1.18 vs 93.30, winner=blue, r_win=7:28:15, win=29:176:75, time=118/33740
281: reward=1.15 vs 93.05, winner=blue, r_win=7:29:14, win=29:177:75, time=118/33858
282: reward=1.21 vs 2.18, winner=draw, r_win=6:29:15, win=29:177:76, time=121/33980
283: reward=1.18 vs 92.26, winner=blue, r_win=6:29:15, win=29:178:76, time=133/34113
284: reward=1.23 vs 2.38, winner=draw, r_win=6:29:15, win=29:178:77, time=140/34253
285: reward=0.15 vs 1.50, winner=draw, r_win=6:28:16, win=29:178:78, time=86/34339
286: reward=2.54 vs 90.51, winner=blue, r_win=6:29:15, win=29:179:78, time=170/34509
287: reward=0.21 vs 2.08, winner=draw, r_win=6:29:15, win=29:179:79, time=103/34612
288: reward=1.68 vs 1.98, winner=draw, r_win=6:29:15, win=29:179:80, time=148/34760
289: reward=0.18 vs 1.83, winner=draw, r_win=5:29:16, win=29:179:81, time=137/34896
290: reward=1.21 vs 2.18, winner=draw, r_win=5:28:17, win=29:179:82, time=108/35005
291: reward=1.21 vs 93.95, winner=blue, r_win=5:28:17, win=29:180:82, time=111/35116
292: reward=0.18 vs 1.83, winner=draw, r_win=5:28:17, win=29:180:83, time=87/35203
293: reward=1.68 vs 94.68, winner=blue, r_win=5:29:16, win=29:181:83, time=98/35302
294: reward=0.21 vs 2.08, winner=draw, r_win=5:28:17, win=29:181:84, time=108/35410
295: reward=94.96 vs 1.60, winner=red, r_win=6:27:17, win=30:181:84, time=86/35496
296: reward=92.96 vs 1.93, winner=red, r_win=7:26:17, win=31:181:84, time=120/35616
297: reward=0.15 vs 1.50, winner=draw, r_win=6:26:18, win=31:181:85, time=71/35687
298: reward=0.15 vs 94.07, winner=blue, r_win=6:26:18, win=31:182:85, time=103/35790
