231: reward=93.31 vs 2.18, winner=red, r_win=29:0:21, win=123:5:103, time=110/18888
232: reward=2.33 vs 92.85, winner=blue, r_win=28:1:21, win=123:6:103, time=133/19021
233: reward=2.08 vs 91.98, winner=blue, r_win=28:2:20, win=123:7:103, time=148/19169
234: reward=93.91 vs 1.50, winner=red, r_win=28:2:20, win=124:7:103, time=94/19263
235: reward=96.71 vs 1.00, winner=red, r_win=29:2:19, win=125:7:103, time=55/19318
236: reward=0.10 vs 1.00, winner=draw, r_win=28:2:20, win=125:7:104, time=60/19378
237: reward=2.90 vs 86.88, winner=blue, r_win=28:3:19, win=125:8:104, time=241/19620
238: reward=0.15 vs 1.50, winner=draw, r_win=27:3:20, win=125:8:105, time=98/19718
239: reward=96.12 vs 1.00, winner=red, r_win=27:3:20, win=126:8:105, time=70/19788
240: reward=0.10 vs 1.00, winner=draw, r_win=26:3:21, win=126:8:106, time=57/19845
241: reward=92.94 vs 1.50, winner=red, r_win=26:3:21, win=127:8:106, time=115/19960
242: reward=0.10 vs 1.00, winner=draw, r_win=25:3:22, win=127:8:107, time=56/20016
243: reward=0.10 vs 1.00, winner=draw, r_win=24:3:23, win=127:8:108, time=61/20077
244: reward=0.10 vs 1.00, winner=draw, r_win=23:3:24, win=127:8:109, time=56/20133
245: reward=0.18 vs 1.83, winner=draw, r_win=23:3:24, win=127:8:110, time=110/20244
246: reward=0.10 vs 1.00, winner=draw, r_win=22:3:25, win=127:8:111, time=97/20341
247: reward=0.10 vs 1.00, winner=draw, r_win=22:3:25, win=127:8:112, time=59/20400
248: reward=92.79 vs 1.50, winner=red, r_win=22:3:25, win=128:8:112, time=117/20517
249: reward=96.78 vs 0.00, winner=red, r_win=23:3:24, win=129:8:112, time=54/20571
250: reward=0.15 vs 1.50, winner=draw, r_win=23:3:24, win=129:8:113, time=115/20686
251: reward=0.15 vs 1.50, winner=draw, r_win=23:3:24, win=129:8:114, time=93/20779
252: reward=93.36 vs 1.50, winner=red, r_win=24:3:23, win=130:8:114, time=102/20880
253: reward=1.73 vs 93.55, winner=blue, r_win=23:4:23, win=130:9:114, time=120/21001
254: reward=93.21 vs 1.00, winner=red, r_win=24:4:22, win=131:9:114, time=104/21105
255: reward=93.09 vs 1.00, winner=red, r_win=25:4:21, win=132:9:114, time=106/21211
256: reward=95.75 vs 1.00, winner=red, r_win=25:4:21, win=133:9:114, time=69/21279
257: reward=0.15 vs 1.50, winner=draw, r_win=25:4:21, win=133:9:115, time=95/21374
258: reward=95.91 vs 1.00, winner=red, r_win=26:4:20, win=134:9:115, time=66/21441
259: reward=92.75 vs 1.00, winner=red, r_win=26:4:20, win=135:9:115, time=110/21551
260: reward=1.15 vs 1.50, winner=draw, r_win=25:4:21, win=135:9:116, time=118/21669
261: reward=95.83 vs 1.50, winner=red, r_win=26:4:20, win=136:9:116, time=68/21737
262: reward=0.10 vs 1.00, winner=draw, r_win=25:4:21, win=136:9:117, time=60/21797
263: reward=95.83 vs 1.00, winner=red, r_win=26:4:20, win=137:9:117, time=68/21864
264: reward=95.83 vs 1.00, winner=red, r_win=26:4:20, win=138:9:117, time=68/21932
265: reward=94.73 vs 1.50, winner=red, r_win=26:4:20, win=139:9:117, time=83/22015
266: reward=96.71 vs 1.00, winner=red, r_win=26:4:20, win=140:9:117, time=55/22070
267: reward=93.69 vs 2.08, winner=red, r_win=26:4:20, win=141:9:117, time=105/22175
268: reward=93.09 vs 1.50, winner=red, r_win=26:4:20, win=142:9:117, time=106/22281
269: reward=91.97 vs 1.50, winner=red, r_win=26:4:20, win=143:9:117, time=129/22410
270: reward=0.15 vs 1.50, winner=draw, r_win=26:4:20, win=143:9:118, time=68/22477
271: reward=0.15 vs 1.50, winner=draw, r_win=25:4:21, win=143:9:119, time=89/22567
272: reward=93.57 vs 1.83, winner=red, r_win=26:4:20, win=144:9:119, time=99/22666
273: reward=95.99 vs 1.00, winner=red, r_win=26:4:20, win=145:9:119, time=65/22732
274: reward=95.91 vs 1.00, winner=red, r_win=27:4:19, win=146:9:119, time=66/22798
275: reward=94.65 vs 1.50, winner=red, r_win=27:4:19, win=147:9:119, time=84/22882
276: reward=95.91 vs 1.00, winner=red, r_win=28:4:18, win=148:9:119, time=66/22948
277: reward=0.15 vs 1.50, winner=draw, r_win=28:4:18, win=148:9:120, time=96/23044
278: reward=0.10 vs 1.00, winner=draw, r_win=27:4:19, win=148:9:121, time=53/23098
279: reward=93.44 vs 1.50, winner=red, r_win=27:4:19, win=149:9:121, time=100/23198
280: reward=93.28 vs 1.50, winner=red, r_win=28:4:18, win=150:9:121, time=103/23301
281: reward=0.18 vs 1.83, winner=draw, r_win=27:4:19, win=150:9:122, time=80/23380
282: reward=95.75 vs 1.00, winner=red, r_win=28:3:19, win=151:9:122, time=69/23449
283: reward=93.36 vs 1.50, winner=red, r_win=29:2:19, win=152:9:122, time=102/23551
284: reward=92.57 vs 1.50, winner=red, r_win=29:2:19, win=153:9:122, time=120/23671
285: reward=0.10 vs 1.00, winner=draw, r_win=28:2:20, win=153:9:123, time=53/23724
286: reward=92.27 vs 1.50, winner=red, r_win=29:2:19, win=154:9:123, time=125/23849
287: reward=95.20 vs 1.50, winner=red, r_win=30:1:19, win=155:9:123, time=83/23932
288: reward=94.60 vs 1.83, winner=red, r_win=31:1:18, win=156:9:123, time=92/24023
289: reward=0.18 vs 1.83, winner=draw, r_win=30:1:19, win=156:9:124, time=114/24137
290: reward=93.50 vs 1.83, winner=red, r_win=31:1:18, win=157:9:124, time=100/24238
291: reward=95.44 vs 1.50, winner=red, r_win=31:1:18, win=158:9:124, time=80/24317
292: reward=0.15 vs 1.50, winner=draw, r_win=31:1:18, win=158:9:125, time=92/24409
293: reward=95.91 vs 1.00, winner=red, r_win=32:1:17, win=159:9:125, time=66/24475
294: reward=96.17 vs 1.00, winner=red, r_win=33:1:16, win=160:9:125, time=70/24545
295: reward=93.55 vs 1.50, winner=red, r_win=34:1:15, win=161:9:125, time=99/24644
296: reward=95.91 vs 1.00, winner=red, r_win=35:1:14, win=162:9:125, time=66/24711
297: reward=0.10 vs 1.00, winner=draw, r_win=35:1:14, win=162:9:126, time=59/24770
298: reward=95.60 vs 1.50, winner=red, r_win=35:1:14, win=163:9:126, time=77/24847
299: reward=94.33 vs 1.50, winner=red, r_win=35:1:14, win=164:9:126, time=88/24936
300: reward=0.15 vs 1.50, winner=draw, r_win=35:1:14, win=164:9:127, time=98/25034
301: reward=0.18 vs 1.83, winner=draw, r_win=35:1:14, win=164:9:128, time=85/25119
