157: reward=1.00 vs 18.39, winner=blue, r_win=0:49:1, win=0:155:2, time=116/19225
158: reward=2.08 vs 18.08, winner=blue, r_win=0:49:1, win=0:156:2, time=143/19368
159: reward=0.00 vs 18.50, winner=blue, r_win=0:49:1, win=0:157:2, time=105/19473
160: reward=1.00 vs 19.16, winner=blue, r_win=0:49:1, win=0:158:2, time=133/19607
161: reward=1.83 vs 17.89, winner=blue, r_win=0:49:1, win=0:159:2, time=157/19763
162: reward=1.00 vs 19.42, winner=blue, r_win=0:49:1, win=0:160:2, time=114/19877
163: reward=1.00 vs 19.06, winner=blue, r_win=0:49:1, win=0:161:2, time=137/20014
164: reward=1.00 vs 18.13, winner=blue, r_win=0:49:1, win=0:162:2, time=136/20149
165: reward=0.00 vs 19.61, winner=blue, r_win=0:49:1, win=0:163:2, time=89/20239
166: reward=1.00 vs 18.08, winner=blue, r_win=0:49:1, win=0:164:2, time=139/20378
167: reward=1.00 vs 18.95, winner=blue, r_win=0:49:1, win=0:165:2, time=149/20527
168: reward=1.00 vs 19.32, winner=blue, r_win=0:49:1, win=0:166:2, time=121/20648
169: reward=1.50 vs 18.14, winner=blue, r_win=0:49:1, win=0:167:2, time=137/20785
170: reward=2.45 vs 0.24, winner=draw, r_win=0:48:2, win=0:167:3, time=168/20953
171: reward=0.00 vs 18.82, winner=blue, r_win=0:48:2, win=0:168:3, time=148/21100
172: reward=0.00 vs 19.21, winner=blue, r_win=0:48:2, win=0:169:3, time=126/21226
173: reward=1.00 vs 18.17, winner=blue, r_win=0:48:2, win=0:170:3, time=132/21359
174: reward=1.00 vs 18.24, winner=blue, r_win=0:48:2, win=0:171:3, time=127/21485
175: reward=0.00 vs 19.60, winner=blue, r_win=0:48:2, win=0:172:3, time=97/21583
176: reward=0.00 vs 19.60, winner=blue, r_win=0:48:2, win=0:173:3, time=97/21680
177: reward=0.00 vs 19.77, winner=blue, r_win=0:48:2, win=0:174:3, time=78/21758
178: reward=1.00 vs 19.03, winner=blue, r_win=0:48:2, win=0:175:3, time=139/21897
179: reward=1.00 vs 18.14, winner=blue, r_win=0:48:2, win=0:176:3, time=135/22032
180: reward=0.00 vs 19.48, winner=blue, r_win=0:48:2, win=0:177:3, time=106/22138
181: reward=1.50 vs 18.75, winner=blue, r_win=0:48:2, win=0:178:3, time=168/22306
182: reward=2.45 vs 17.82, winner=blue, r_win=0:48:2, win=0:179:3, time=166/22472
183: reward=2.72 vs 17.15, winner=blue, r_win=0:48:2, win=0:180:3, time=225/22697
184: reward=2.08 vs 17.88, winner=blue, r_win=0:48:2, win=0:181:3, time=159/22856
185: reward=1.83 vs 18.50, winner=blue, r_win=0:48:2, win=0:182:3, time=110/22966
186: reward=0.00 vs 19.15, winner=blue, r_win=0:48:2, win=0:183:3, time=122/23089
187: reward=1.00 vs 18.23, winner=blue, r_win=0:48:2, win=0:184:3, time=128/23217
188: reward=1.50 vs 18.20, winner=blue, r_win=0:48:2, win=0:185:3, time=132/23349
189: reward=1.00 vs 18.44, winner=blue, r_win=0:48:2, win=0:186:3, time=113/23462
190: reward=1.50 vs 17.77, winner=blue, r_win=0:48:2, win=0:187:3, time=165/23627
191: reward=1.50 vs 18.26, winner=blue, r_win=0:48:2, win=0:188:3, time=128/23755
192: reward=1.00 vs 19.24, winner=blue, r_win=0:48:2, win=0:189:3, time=127/23882
193: reward=2.08 vs 18.18, winner=blue, r_win=0:48:2, win=0:190:3, time=136/24018
194: reward=1.00 vs 18.39, winner=blue, r_win=0:49:1, win=0:191:3, time=116/24133
195: reward=1.83 vs 18.32, winner=blue, r_win=0:49:1, win=0:192:3, time=124/24257
196: reward=0.00 vs 19.71, winner=blue, r_win=0:49:1, win=0:193:3, time=83/24340
197: reward=0.00 vs 18.72, winner=blue, r_win=0:49:1, win=0:194:3, time=93/24433
198: reward=0.00 vs 19.65, winner=blue, r_win=0:49:1, win=0:195:3, time=87/24520
199: reward=1.50 vs 18.53, winner=blue, r_win=0:49:1, win=0:196:3, time=106/24626
200: reward=2.28 vs 18.02, winner=blue, r_win=0:49:1, win=0:197:3, time=150/24776
