233: reward=3.55 vs 3.60, win=2 vs 224, recent_win=1 vs 49, draw=7, winner=blue, time=329/100690
234: reward=15.60 vs 2.40, win=2 vs 225, recent_win=1 vs 49, draw=7, winner=blue, time=777/101466
235: reward=25.20 vs 0.40, win=2 vs 226, recent_win=1 vs 49, draw=7, winner=blue, time=1113/102579
236: reward=21.05 vs 1.80, win=2 vs 227, recent_win=1 vs 49, draw=7, winner=blue, time=1004/103583
237: reward=16.65 vs 1.30, win=2 vs 228, recent_win=1 vs 49, draw=7, winner=blue, time=837/104419
238: reward=24.50 vs 1.50, win=2 vs 229, recent_win=0 vs 50, draw=7, winner=blue, time=1255/105674
239: reward=25.40 vs 0.40, win=2 vs 230, recent_win=0 vs 50, draw=7, winner=blue, time=1145/106818
240: reward=17.50 vs 1.10, win=2 vs 231, recent_win=0 vs 50, draw=7, winner=blue, time=815/107633
241: reward=19.50 vs 0.90, win=2 vs 232, recent_win=0 vs 50, draw=7, winner=blue, time=1026/108659
242: reward=15.60 vs 2.40, win=2 vs 233, recent_win=0 vs 50, draw=7, winner=blue, time=763/109421
243: reward=0.45 vs 1.00, win=2 vs 233, recent_win=0 vs 49, draw=8, winner=draw, time=70/109491
244: reward=16.90 vs 2.20, win=2 vs 234, recent_win=0 vs 49, draw=8, winner=blue, time=898/110389
245: reward=26.30 vs 1.30, win=2 vs 235, recent_win=0 vs 49, draw=8, winner=blue, time=1425/111814
246: reward=26.40 vs 1.00, win=2 vs 236, recent_win=0 vs 49, draw=8, winner=blue, time=1381/113195
247: reward=19.40 vs 1.00, win=2 vs 237, recent_win=0 vs 49, draw=8, winner=blue, time=1259/114454
248: reward=23.40 vs 0.60, win=2 vs 238, recent_win=0 vs 49, draw=8, winner=blue, time=1068/115521
249: reward=15.40 vs 1.40, win=2 vs 239, recent_win=0 vs 49, draw=8, winner=blue, time=691/116212
250: reward=30.90 vs -0.20, win=2 vs 240, recent_win=0 vs 49, draw=8, winner=blue, time=1471/117683
251: reward=23.05 vs 1.60, win=2 vs 241, recent_win=0 vs 49, draw=8, winner=blue, time=1062/118745
252: reward=27.05 vs 0.20, win=2 vs 242, recent_win=0 vs 49, draw=8, winner=blue, time=1328/120074
