140: reward=6.00 vs 84.99, reward_evade=6.00 vs 1.00, win=0 vs 80, recent_win=0 vs 29, draw=60, winner=blue, time=219/17183
141: reward=6.00 vs 92.70, reward_evade=6.00 vs 1.00, win=0 vs 81, recent_win=0 vs 30, draw=60, winner=blue, time=106/17289
142: reward=2.00 vs -0.10, reward_evade=1.00 vs 1.00, win=0 vs 81, recent_win=0 vs 30, draw=61, winner=draw, time=146/17435
143: reward=3.00 vs 90.07, reward_evade=3.00 vs 1.00, win=0 vs 82, recent_win=0 vs 30, draw=61, winner=blue, time=143/17578
144: reward=1.00 vs 90.10, reward_evade=1.00 vs 1.00, win=0 vs 83, recent_win=0 vs 31, draw=61, winner=blue, time=144/17722
145: reward=4.00 vs 91.59, reward_evade=4.00 vs 1.00, win=0 vs 84, recent_win=0 vs 31, draw=61, winner=blue, time=119/17842
146: reward=2.00 vs 89.78, reward_evade=2.00 vs 1.00, win=0 vs 85, recent_win=0 vs 31, draw=61, winner=blue, time=148/17989
147: reward=1.00 vs 90.68, reward_evade=1.00 vs 1.00, win=0 vs 86, recent_win=0 vs 31, draw=61, winner=blue, time=136/18125
148: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 86, recent_win=0 vs 30, draw=62, winner=draw, time=138/18263
149: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 86, recent_win=0 vs 29, draw=63, winner=draw, time=118/18381
150: reward=4.00 vs 90.99, reward_evade=4.00 vs 1.00, win=0 vs 87, recent_win=0 vs 29, draw=63, winner=blue, time=128/18509
151: reward=4.00 vs 92.86, reward_evade=4.00 vs 1.00, win=0 vs 88, recent_win=0 vs 30, draw=63, winner=blue, time=104/18613
152: reward=3.00 vs 91.02, reward_evade=3.00 vs 1.00, win=0 vs 89, recent_win=0 vs 31, draw=63, winner=blue, time=129/18742
153: reward=1.00 vs 91.57, reward_evade=1.00 vs 1.00, win=0 vs 90, recent_win=0 vs 32, draw=63, winner=blue, time=122/18865
154: reward=95.99 vs 91.57, reward_evade=2.00 vs 1.00, win=1 vs 90, recent_win=1 vs 31, draw=63, winner=red, time=91/18955
155: reward=5.00 vs 88.15, reward_evade=5.00 vs 1.00, win=1 vs 91, recent_win=1 vs 32, draw=63, winner=blue, time=169/19124
156: reward=3.00 vs 91.54, reward_evade=3.00 vs 1.00, win=1 vs 92, recent_win=1 vs 33, draw=63, winner=blue, time=121/19245
157: reward=1.00 vs 90.68, reward_evade=1.00 vs 1.00, win=1 vs 93, recent_win=1 vs 33, draw=63, winner=blue, time=136/19381
158: reward=1.00 vs 92.73, reward_evade=1.00 vs 1.00, win=1 vs 94, recent_win=1 vs 33, draw=63, winner=blue, time=107/19488
159: reward=2.00 vs 90.75, reward_evade=2.00 vs 1.00, win=1 vs 95, recent_win=1 vs 33, draw=63, winner=blue, time=135/19623
160: reward=2.00 vs 90.95, reward_evade=2.00 vs 1.00, win=1 vs 96, recent_win=1 vs 34, draw=63, winner=blue, time=130/19753
161: reward=4.00 vs 90.12, reward_evade=4.00 vs 1.00, win=1 vs 97, recent_win=1 vs 35, draw=63, winner=blue, time=141/19894
162: reward=1.00 vs 91.12, reward_evade=1.00 vs 1.00, win=1 vs 98, recent_win=1 vs 36, draw=63, winner=blue, time=129/20023
163: reward=1.00 vs 90.61, reward_evade=1.00 vs 1.00, win=1 vs 99, recent_win=1 vs 37, draw=63, winner=blue, time=137/20160
164: reward=1.00 vs 89.74, reward_evade=1.00 vs 1.00, win=1 vs 100, recent_win=1 vs 37, draw=63, winner=blue, time=150/20310
165: reward=1.00 vs 92.09, reward_evade=1.00 vs 1.00, win=1 vs 101, recent_win=1 vs 37, draw=63, winner=blue, time=115/20425
166: reward=2.00 vs 90.95, reward_evade=2.00 vs 1.00, win=1 vs 102, recent_win=1 vs 38, draw=63, winner=blue, time=130/20555
167: reward=1.00 vs 91.34, reward_evade=1.00 vs 1.00, win=1 vs 103, recent_win=1 vs 38, draw=63, winner=blue, time=126/20681
168: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=1 vs 104, recent_win=1 vs 38, draw=63, winner=blue, time=133/20814
169: reward=2.00 vs 90.80, reward_evade=2.00 vs 1.00, win=1 vs 105, recent_win=1 vs 38, draw=63, winner=blue, time=132/20947
170: reward=2.00 vs 90.36, reward_evade=2.00 vs 1.00, win=1 vs 106, recent_win=1 vs 39, draw=63, winner=blue, time=139/21086
171: reward=1.00 vs 92.17, reward_evade=1.00 vs 1.00, win=1 vs 107, recent_win=1 vs 39, draw=63, winner=blue, time=114/21199
172: reward=1.00 vs 92.09, reward_evade=1.00 vs 1.00, win=1 vs 108, recent_win=1 vs 40, draw=63, winner=blue, time=115/21314
173: reward=6.00 vs -0.60, reward_evade=6.00 vs 1.00, win=1 vs 108, recent_win=1 vs 39, draw=64, winner=draw, time=216/21530
174: reward=4.00 vs 88.25, reward_evade=4.00 vs 1.00, win=1 vs 109, recent_win=1 vs 39, draw=64, winner=blue, time=169/21699
175: reward=2.00 vs 91.54, reward_evade=2.00 vs 1.00, win=1 vs 110, recent_win=1 vs 40, draw=64, winner=blue, time=121/21820
176: reward=1.00 vs 92.55, reward_evade=1.00 vs 1.00, win=1 vs 111, recent_win=1 vs 40, draw=64, winner=blue, time=108/21928
177: reward=1.00 vs 92.55, reward_evade=1.00 vs 1.00, win=1 vs 111, recent_win=1 vs 40, draw=65, winner=draw, time=91/22019
178: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=1 vs 111, recent_win=1 vs 39, draw=66, winner=draw, time=78/22098
179: reward=4.00 vs 89.26, reward_evade=4.00 vs 1.00, win=1 vs 112, recent_win=1 vs 40, draw=66, winner=blue, time=154/22252
180: reward=1.00 vs 89.38, reward_evade=1.00 vs 1.00, win=1 vs 113, recent_win=1 vs 40, draw=66, winner=blue, time=155/22407
181: reward=2.00 vs 92.63, reward_evade=2.00 vs 1.00, win=1 vs 114, recent_win=1 vs 41, draw=66, winner=blue, time=107/22515
182: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=1 vs 115, recent_win=1 vs 42, draw=66, winner=blue, time=133/22648
183: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=1 vs 115, recent_win=1 vs 41, draw=67, winner=draw, time=71/22719
184: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=1 vs 115, recent_win=1 vs 40, draw=68, winner=draw, time=74/22793
185: reward=95.52 vs 1.00, reward_evade=2.00 vs 1.00, win=2 vs 115, recent_win=2 vs 39, draw=68, winner=red, time=97/22890
186: reward=3.00 vs 91.92, reward_evade=3.00 vs 1.00, win=2 vs 116, recent_win=2 vs 39, draw=68, winner=blue, time=116/23006
187: reward=4.00 vs 90.41, reward_evade=4.00 vs 1.00, win=2 vs 117, recent_win=2 vs 39, draw=68, winner=blue, time=137/23143
188: reward=5.00 vs 90.60, reward_evade=5.00 vs 1.00, win=2 vs 118, recent_win=2 vs 39, draw=68, winner=blue, time=132/23275
189: reward=3.00 vs 91.99, reward_evade=3.00 vs 1.00, win=2 vs 119, recent_win=2 vs 40, draw=68, winner=blue, time=115/23390
190: reward=1.00 vs 90.83, reward_evade=1.00 vs 1.00, win=2 vs 120, recent_win=2 vs 40, draw=68, winner=blue, time=133/23524
191: reward=3.00 vs 91.32, reward_evade=3.00 vs 1.00, win=2 vs 121, recent_win=2 vs 40, draw=68, winner=blue, time=125/23648
192: reward=3.00 vs 1.00, reward_evade=3.00 vs 1.00, win=2 vs 121, recent_win=2 vs 40, draw=69, winner=draw, time=87/23736
193: reward=2.00 vs 0.80, reward_evade=2.00 vs 1.00, win=2 vs 121, recent_win=2 vs 39, draw=70, winner=draw, time=109/23845
194: reward=2.00 vs 93.48, reward_evade=2.00 vs 1.00, win=2 vs 122, recent_win=2 vs 39, draw=70, winner=blue, time=95/23940
