220: reward=5.00 vs -0.50, win=31 vs 124, recent_win=16 vs 26, draw=65, winner=red, time=230/36241
221: reward=5.00 vs -0.50, win=32 vs 124, recent_win=16 vs 26, draw=65, winner=red, time=207/36448
222: reward=1.00 vs 0.90, win=32 vs 125, recent_win=16 vs 26, draw=65, winner=blue, time=127/36575
223: reward=4.00 vs -0.40, win=33 vs 125, recent_win=17 vs 25, draw=65, winner=red, time=181/36756
224: reward=2.00 vs 0.80, win=33 vs 126, recent_win=17 vs 25, draw=65, winner=blue, time=158/36913
225: reward=4.00 vs -0.40, win=33 vs 126, recent_win=16 vs 25, draw=66, winner=draw, time=209/37123
226: reward=6.00 vs -0.60, win=34 vs 126, recent_win=16 vs 25, draw=66, winner=red, time=387/37509
227: reward=3.00 vs 0.70, win=34 vs 127, recent_win=16 vs 25, draw=66, winner=blue, time=143/37653
228: reward=4.00 vs -0.40, win=34 vs 128, recent_win=16 vs 25, draw=66, winner=blue, time=147/37799
229: reward=5.00 vs -0.50, win=35 vs 128, recent_win=17 vs 24, draw=66, winner=red, time=177/37977
230: reward=5.00 vs -0.50, win=36 vs 128, recent_win=18 vs 24, draw=66, winner=red, time=202/38179
231: reward=2.00 vs 0.80, win=36 vs 128, recent_win=18 vs 23, draw=67, winner=draw, time=130/38309
232: reward=5.00 vs -0.50, win=37 vs 128, recent_win=19 vs 22, draw=67, winner=red, time=203/38512
233: reward=5.00 vs -0.50, win=38 vs 128, recent_win=20 vs 21, draw=67, winner=red, time=209/38721
234: reward=1.00 vs 0.80, win=38 vs 129, recent_win=20 vs 22, draw=67, winner=blue, time=162/38883
235: reward=4.80 vs 1.50, win=39 vs 129, recent_win=20 vs 22, draw=67, winner=red, time=293/39176
236: reward=4.00 vs -0.40, win=40 vs 129, recent_win=21 vs 21, draw=67, winner=red, time=247/39422
237: reward=3.00 vs 0.70, win=40 vs 129, recent_win=20 vs 21, draw=68, winner=draw, time=182/39604
238: reward=3.00 vs 1.00, win=40 vs 129, recent_win=20 vs 20, draw=69, winner=draw, time=100/39705
239: reward=6.00 vs -0.60, win=41 vs 129, recent_win=21 vs 19, draw=69, winner=red, time=230/39935
240: reward=6.00 vs 1.00, win=41 vs 129, recent_win=21 vs 19, draw=70, winner=draw, time=246/40181
241: reward=2.00 vs 0.80, win=41 vs 129, recent_win=21 vs 18, draw=71, winner=draw, time=147/40328
242: reward=2.00 vs 0.90, win=41 vs 130, recent_win=21 vs 18, draw=71, winner=blue, time=100/40428
243: reward=4.00 vs -0.40, win=41 vs 131, recent_win=20 vs 19, draw=71, winner=blue, time=146/40574
244: reward=4.00 vs -0.40, win=42 vs 131, recent_win=21 vs 19, draw=71, winner=red, time=183/40757
245: reward=3.00 vs 0.70, win=42 vs 132, recent_win=21 vs 19, draw=71, winner=blue, time=146/40902
246: reward=4.00 vs -0.40, win=43 vs 132, recent_win=22 vs 18, draw=71, winner=red, time=202/41104
247: reward=3.00 vs 0.70, win=43 vs 133, recent_win=22 vs 18, draw=71, winner=blue, time=155/41259
248: reward=5.00 vs -0.50, win=43 vs 134, recent_win=21 vs 19, draw=71, winner=blue, time=169/41428
249: reward=3.00 vs 0.70, win=43 vs 135, recent_win=20 vs 20, draw=71, winner=blue, time=143/41572
250: reward=1.00 vs 0.90, win=43 vs 136, recent_win=19 vs 21, draw=71, winner=blue, time=144/41716
251: reward=5.00 vs -0.50, win=43 vs 137, recent_win=18 vs 22, draw=71, winner=blue, time=190/41906
252: reward=1.00 vs 0.90, win=43 vs 138, recent_win=18 vs 22, draw=71, winner=blue, time=225/42130
253: reward=2.00 vs 0.80, win=43 vs 139, recent_win=17 vs 23, draw=71, winner=blue, time=162/42293
254: reward=5.00 vs -0.50, win=44 vs 139, recent_win=18 vs 23, draw=71, winner=red, time=309/42601
255: reward=5.00 vs -0.50, win=45 vs 139, recent_win=19 vs 23, draw=71, winner=red, time=183/42784
