229: reward=-33.20 vs 90.95, winner=blue, r_win=0:50:0, win=3:217:9, time=130/30072
230: reward=-34.83 vs 92.63, winner=blue, r_win=0:50:0, win=3:218:9, time=107/30179
231: reward=-37.46 vs 94.39, winner=blue, r_win=0:50:0, win=3:219:9, time=85/30264
232: reward=-34.86 vs 92.70, winner=blue, r_win=0:50:0, win=3:220:9, time=106/30370
233: reward=-37.24 vs 94.60, winner=blue, r_win=0:50:0, win=3:221:9, time=96/30466
234: reward=-12.68 vs -15.98, winner=draw, r_win=0:49:1, win=3:221:10, time=251/30718
235: reward=-36.21 vs 92.03, winner=blue, r_win=0:49:1, win=3:222:10, time=133/30851
236: reward=-36.33 vs 93.97, winner=blue, r_win=0:49:1, win=3:223:10, time=89/30941
237: reward=-34.13 vs 92.54, winner=blue, r_win=0:49:1, win=3:224:10, time=93/31033
238: reward=-33.34 vs 90.54, winner=blue, r_win=0:49:1, win=3:225:10, time=121/31155
239: reward=-36.42 vs 94.21, winner=blue, r_win=0:49:1, win=3:226:10, time=86/31241
240: reward=-8.15 vs -11.45, winner=draw, r_win=0:48:2, win=3:226:11, time=952/32193
241: reward=-8.97 vs -12.27, winner=draw, r_win=0:47:3, win=3:226:12, time=750/32942
242: reward=-35.41 vs 91.67, winner=blue, r_win=0:47:3, win=3:227:12, time=122/33065
243: reward=-34.76 vs 91.70, winner=blue, r_win=0:47:3, win=3:228:12, time=106/33171
244: reward=-35.13 vs 92.64, winner=blue, r_win=0:47:3, win=3:229:12, time=93/33263
245: reward=-35.02 vs 90.71, winner=blue, r_win=0:47:3, win=3:230:12, time=137/33400
246: reward=-34.28 vs 90.49, winner=blue, r_win=0:47:3, win=3:231:12, time=124/33524
247: reward=-33.73 vs 91.53, winner=blue, r_win=0:47:3, win=3:232:12, time=107/33631
248: reward=-34.95 vs 92.17, winner=blue, r_win=0:47:3, win=3:233:12, time=99/33730
249: reward=-34.19 vs 90.27, winner=blue, r_win=0:47:3, win=3:234:12, time=127/33857
250: reward=-35.10 vs 92.56, winner=blue, r_win=0:47:3, win=3:235:12, time=94/33951
251: reward=-35.41 vs 91.67, winner=blue, r_win=0:47:3, win=3:236:12, time=122/34074
252: reward=-35.56 vs 92.04, winner=blue, r_win=0:47:3, win=3:237:12, time=117/34191
253: reward=-34.58 vs 91.24, winner=blue, r_win=0:47:3, win=3:238:12, time=113/34303
254: reward=-34.07 vs 89.97, winner=blue, r_win=0:47:3, win=3:239:12, time=131/34435
255: reward=-34.98 vs 93.01, winner=blue, r_win=0:47:3, win=3:240:12, time=102/34536
