222: reward=-36.38 vs 92.71, winner=blue, r_win=0:50:0, win=21:188:13, time=102/48773
223: reward=-36.54 vs 93.10, winner=blue, r_win=0:50:0, win=21:189:13, time=96/48869
224: reward=-36.23 vs 92.57, winner=blue, r_win=0:50:0, win=21:190:13, time=89/48959
225: reward=-29.08 vs 84.45, winner=blue, r_win=0:50:0, win=21:191:13, time=190/49148
226: reward=-24.98 vs 81.44, winner=blue, r_win=0:50:0, win=21:192:13, time=260/49408
227: reward=-37.79 vs 93.98, winner=blue, r_win=0:50:0, win=21:193:13, time=105/49513
228: reward=-29.82 vs 86.06, winner=blue, r_win=0:50:0, win=21:194:13, time=180/49693
229: reward=-28.85 vs 85.63, winner=blue, r_win=0:50:0, win=21:195:13, time=179/49871
230: reward=-36.10 vs 92.26, winner=blue, r_win=0:50:0, win=21:196:13, time=94/49965
231: reward=-36.82 vs 93.81, winner=blue, r_win=0:50:0, win=21:197:13, time=86/50051
232: reward=-29.66 vs 85.65, winner=blue, r_win=0:50:0, win=21:198:13, time=186/50238
233: reward=-36.52 vs 93.29, winner=blue, r_win=0:50:0, win=21:199:13, time=80/50317
234: reward=-29.07 vs 85.91, winner=blue, r_win=0:50:0, win=21:200:13, time=329/50646
235: reward=-24.53 vs 78.83, winner=blue, r_win=0:50:0, win=21:201:13, time=445/51090
236: reward=-29.41 vs 85.26, winner=blue, r_win=0:50:0, win=21:202:13, time=176/51267
237: reward=-35.13 vs 91.84, winner=blue, r_win=0:50:0, win=21:203:13, time=93/51360
238: reward=-33.69 vs 89.97, winner=blue, r_win=0:50:0, win=21:204:13, time=127/51486
239: reward=-36.45 vs 93.13, winner=blue, r_win=0:50:0, win=21:205:13, time=82/51568
240: reward=-31.69 vs 86.46, winner=blue, r_win=0:50:0, win=21:206:13, time=206/51774
241: reward=-32.46 vs 89.14, winner=blue, r_win=0:50:0, win=21:207:13, time=117/51891
242: reward=-36.37 vs 92.42, winner=blue, r_win=0:50:0, win=21:208:13, time=120/52012
243: reward=-28.86 vs 86.16, winner=blue, r_win=0:50:0, win=21:209:13, time=139/52151
244: reward=-36.54 vs 93.10, winner=blue, r_win=0:50:0, win=21:210:13, time=96/52247
245: reward=-36.71 vs 93.77, winner=blue, r_win=0:50:0, win=21:211:13, time=73/52320
246: reward=-36.32 vs 92.56, winner=blue, r_win=0:50:0, win=21:212:13, time=104/52424
247: reward=-36.32 vs 92.81, winner=blue, r_win=0:50:0, win=21:213:13, time=86/52510
248: reward=-30.08 vs 86.94, winner=blue, r_win=0:50:0, win=21:214:13, time=150/52660
249: reward=-24.59 vs 82.47, winner=blue, r_win=0:50:0, win=21:215:13, time=382/53041
250: reward=-36.26 vs 92.65, winner=blue, r_win=0:50:0, win=21:216:13, time=88/53130
251: reward=-28.28 vs 83.94, winner=blue, r_win=0:50:0, win=21:217:13, time=224/53353
252: reward=-32.66 vs 89.39, winner=blue, r_win=0:50:0, win=21:218:13, time=128/53481
253: reward=-33.48 vs 89.45, winner=blue, r_win=0:50:0, win=21:219:13, time=135/53616
254: reward=-35.10 vs 91.25, winner=blue, r_win=0:50:0, win=21:220:13, time=130/53746
255: reward=-36.48 vs 93.21, winner=blue, r_win=0:50:0, win=21:221:13, time=81/53827
256: reward=-36.23 vs 92.57, winner=blue, r_win=0:50:0, win=21:222:13, time=89/53916
257: reward=-20.07 vs 73.18, winner=blue, r_win=0:50:0, win=21:223:13, time=624/54540
258: reward=-24.95 vs 81.39, winner=blue, r_win=0:50:0, win=21:224:13, time=419/54959
259: reward=-29.71 vs 85.53, winner=blue, r_win=0:50:0, win=21:225:13, time=205/55164
260: reward=-29.70 vs 84.50, winner=blue, r_win=0:50:0, win=21:226:13, time=297/55460
261: reward=-32.31 vs 88.52, winner=blue, r_win=0:50:0, win=21:227:13, time=141/55601
262: reward=-31.45 vs 88.38, winner=blue, r_win=0:50:0, win=21:228:13, time=136/55737
263: reward=-31.55 vs 88.87, winner=blue, r_win=0:50:0, win=21:229:13, time=114/55851
264: reward=-30.52 vs 86.04, winner=blue, r_win=0:50:0, win=21:230:13, time=172/56023
265: reward=-29.98 vs 86.95, winner=blue, r_win=0:50:0, win=21:231:13, time=135/56157
266: reward=-29.63 vs 85.81, winner=blue, r_win=0:50:0, win=21:232:13, time=168/56325
267: reward=-32.78 vs 89.44, winner=blue, r_win=0:50:0, win=21:233:13, time=142/56467
268: reward=-36.39 vs 92.97, winner=blue, r_win=0:50:0, win=21:234:13, time=84/56551
269: reward=-36.01 vs 91.53, winner=blue, r_win=0:50:0, win=21:235:13, time=133/56685
270: reward=-31.37 vs 88.42, winner=blue, r_win=0:50:0, win=21:236:13, time=120/56805
271: reward=-33.79 vs 90.48, winner=blue, r_win=0:50:0, win=21:237:13, time=105/56910
272: reward=-30.52 vs 87.80, winner=blue, r_win=0:50:0, win=21:238:13, time=152/57062
273: reward=-33.02 vs 90.29, winner=blue, r_win=0:50:0, win=21:239:13, time=115/57177
274: reward=-35.90 vs 91.49, winner=blue, r_win=0:50:0, win=21:240:13, time=119/57296
275: reward=-30.78 vs 86.94, winner=blue, r_win=0:50:0, win=21:241:13, time=142/57439
276: reward=-36.52 vs 93.29, winner=blue, r_win=0:50:0, win=21:242:13, time=80/57518
277: reward=-27.84 vs 83.86, winner=blue, r_win=0:50:0, win=21:243:13, time=290/57808
278: reward=-36.36 vs 92.89, winner=blue, r_win=0:50:0, win=21:244:13, time=85/57893
279: reward=-36.86 vs 93.89, winner=blue, r_win=0:50:0, win=21:245:13, time=85/57978
280: reward=-30.92 vs 87.31, winner=blue, r_win=0:50:0, win=21:246:13, time=137/58115
281: reward=-36.89 vs 93.97, winner=blue, r_win=0:50:0, win=21:247:13, time=84/58199
282: reward=-28.23 vs 85.31, winner=blue, r_win=0:50:0, win=21:248:13, time=226/58425
283: reward=-26.65 vs 83.62, winner=blue, r_win=0:50:0, win=21:249:13, time=229/58654
284: reward=-36.10 vs 92.26, winner=blue, r_win=0:50:0, win=21:250:13, time=94/58748
285: reward=-23.93 vs 78.83, winner=blue, r_win=0:50:0, win=21:251:13, time=484/59231
286: reward=-33.92 vs 90.79, winner=blue, r_win=0:50:0, win=21:252:13, time=100/59332
287: reward=-36.17 vs 92.17, winner=blue, r_win=0:50:0, win=21:253:13, time=109/59441
288: reward=-33.22 vs 88.80, winner=blue, r_win=0:50:0, win=21:254:13, time=144/59586
289: reward=-33.02 vs 90.29, winner=blue, r_win=0:50:0, win=21:255:13, time=115/59700
290: reward=-32.49 vs 89.22, winner=blue, r_win=0:50:0, win=21:256:13, time=116/59816
291: reward=-32.05 vs 87.87, winner=blue, r_win=0:50:0, win=21:257:13, time=151/59967
292: reward=-36.74 vs 93.85, winner=blue, r_win=0:50:0, win=21:258:13, time=72/60039
