142: reward=1.00 vs 0.10, winner=draw, r_win=1:23:26, win=9:58:75, time=113/16758
143: reward=92.72 vs 0.10, winner=red, r_win=2:22:26, win=10:58:75, time=116/16874
144: reward=1.00 vs 88.52, winner=blue, r_win=2:23:25, win=10:59:75, time=159/17033
145: reward=1.00 vs 91.67, winner=blue, r_win=2:24:24, win=10:60:75, time=111/17144
146: reward=0.00 vs 0.00, winner=draw, r_win=2:23:25, win=10:60:76, time=75/17219
147: reward=92.72 vs 0.00, winner=red, r_win=3:23:24, win=11:60:76, time=116/17335
148: reward=0.00 vs 91.02, winner=blue, r_win=3:24:23, win=11:61:76, time=120/17456
149: reward=0.00 vs 0.00, winner=draw, r_win=3:23:24, win=11:61:77, time=85/17541
150: reward=0.00 vs 0.00, winner=draw, r_win=3:22:25, win=11:61:78, time=68/17608
151: reward=1.83 vs 91.28, winner=blue, r_win=3:22:25, win=11:62:78, time=132/17741
152: reward=1.00 vs 0.00, winner=draw, r_win=3:22:25, win=11:62:79, time=100/17841
153: reward=1.50 vs 90.73, winner=blue, r_win=3:23:24, win=11:63:79, time=126/17967
154: reward=1.00 vs 92.21, winner=blue, r_win=3:23:24, win=11:64:79, time=104/18071
155: reward=1.00 vs 90.10, winner=blue, r_win=3:24:23, win=11:65:79, time=135/18205
156: reward=1.00 vs 0.10, winner=draw, r_win=3:24:23, win=11:65:80, time=100/18306
157: reward=1.50 vs 90.48, winner=blue, r_win=3:25:22, win=11:66:80, time=144/18450
158: reward=1.83 vs 0.18, winner=draw, r_win=3:24:23, win=11:66:81, time=142/18593
159: reward=1.50 vs 0.15, winner=draw, r_win=3:23:24, win=11:66:82, time=146/18738
160: reward=1.50 vs 0.15, winner=draw, r_win=3:22:25, win=11:66:83, time=161/18899
161: reward=1.00 vs 0.10, winner=draw, r_win=3:22:25, win=11:66:84, time=102/19001
162: reward=0.00 vs 0.00, winner=draw, r_win=3:22:25, win=11:66:85, time=97/19098
163: reward=1.00 vs 0.00, winner=draw, r_win=3:21:26, win=11:66:86, time=95/19193
164: reward=1.83 vs 91.93, winner=blue, r_win=3:22:25, win=11:67:86, time=108/19301
165: reward=1.00 vs 90.25, winner=blue, r_win=3:22:25, win=11:68:86, time=132/19434
166: reward=1.00 vs 0.00, winner=draw, r_win=3:22:25, win=11:68:87, time=86/19520
167: reward=1.50 vs 92.83, winner=blue, r_win=3:22:25, win=11:69:87, time=95/19615
168: reward=1.83 vs 90.12, winner=blue, r_win=3:22:25, win=11:70:87, time=150/19765
169: reward=1.50 vs 90.14, winner=blue, r_win=3:23:24, win=11:71:87, time=135/19899
