177: reward=-31.70 vs 89.29, winner=blue, r_win=0:47:3, win=4:160:13, time=259/41595
178: reward=-31.98 vs 90.15, winner=blue, r_win=0:47:3, win=4:161:13, time=190/41785
179: reward=-29.91 vs 84.97, winner=blue, r_win=0:47:3, win=4:162:13, time=282/42067
180: reward=-31.08 vs 90.74, winner=blue, r_win=0:47:3, win=4:163:13, time=308/42374
181: reward=-32.43 vs 88.88, winner=blue, r_win=0:47:3, win=4:164:13, time=213/42587
182: reward=-34.44 vs 91.51, winner=blue, r_win=0:47:3, win=4:165:13, time=171/42758
183: reward=-12.38 vs 11.82, winner=draw, r_win=0:46:4, win=4:165:14, time=584/43341
184: reward=-10.34 vs -10.34, winner=draw, r_win=0:45:5, win=4:165:15, time=560/43901
185: reward=-33.90 vs 90.89, winner=blue, r_win=0:45:5, win=4:166:15, time=197/44098
186: reward=-34.55 vs 91.78, winner=blue, r_win=0:45:5, win=4:167:15, time=166/44265
187: reward=-34.00 vs 92.81, winner=blue, r_win=0:45:5, win=4:168:15, time=149/44414
188: reward=-32.68 vs 91.59, winner=blue, r_win=0:45:5, win=4:169:15, time=274/44687
189: reward=-32.71 vs 93.17, winner=blue, r_win=0:45:5, win=4:170:15, time=282/44969
190: reward=-37.49 vs 95.23, winner=blue, r_win=0:45:5, win=4:171:15, time=87/45056
191: reward=-33.47 vs 91.48, winner=blue, r_win=0:45:5, win=4:172:15, time=170/45226
192: reward=-34.61 vs 91.92, winner=blue, r_win=0:45:5, win=4:173:15, time=164/45390
193: reward=-29.33 vs 94.78, winner=blue, r_win=0:45:5, win=4:174:15, time=391/45781
194: reward=-32.22 vs 90.76, winner=blue, r_win=0:45:5, win=4:175:15, time=180/45961
195: reward=-31.48 vs 88.91, winner=blue, r_win=0:45:5, win=4:176:15, time=210/46171
196: reward=-32.25 vs 90.83, winner=blue, r_win=0:45:5, win=4:177:15, time=179/46350
197: reward=-30.42 vs 91.51, winner=blue, r_win=0:45:5, win=4:178:15, time=291/46640
198: reward=-32.33 vs 91.03, winner=blue, r_win=0:45:5, win=4:179:15, time=175/46816
199: reward=-32.92 vs 92.50, winner=blue, r_win=0:45:5, win=4:180:15, time=152/46968
200: reward=-32.01 vs 85.43, winner=blue, r_win=0:45:5, win=4:181:15, time=277/47244
201: reward=-32.61 vs 91.72, winner=blue, r_win=0:45:5, win=4:182:15, time=164/47409
202: reward=-32.89 vs 90.62, winner=blue, r_win=0:46:4, win=4:183:15, time=254/47663
203: reward=-34.75 vs 92.27, winner=blue, r_win=0:46:4, win=4:184:15, time=159/47822
204: reward=-34.64 vs 91.99, winner=blue, r_win=0:46:4, win=4:185:15, time=163/47985
205: reward=-33.22 vs 90.86, winner=blue, r_win=0:46:4, win=4:186:15, time=180/48165
206: reward=-33.02 vs 87.96, winner=blue, r_win=0:46:4, win=4:187:15, time=230/48395
207: reward=-33.47 vs 91.48, winner=blue, r_win=0:46:4, win=4:188:15, time=170/48565
208: reward=-31.61 vs 89.23, winner=blue, r_win=0:46:4, win=4:189:15, time=205/48770
209: reward=-32.69 vs 89.53, winner=blue, r_win=0:46:4, win=4:190:15, time=202/48972
210: reward=-11.18 vs -11.18, winner=draw, r_win=0:45:5, win=4:190:16, time=443/49414
211: reward=-30.18 vs 89.40, winner=blue, r_win=0:45:5, win=4:191:16, time=293/49707
212: reward=-34.45 vs 92.12, winner=blue, r_win=0:45:5, win=4:192:16, time=229/49936
213: reward=-35.03 vs 92.98, winner=blue, r_win=0:45:5, win=4:193:16, time=148/50084
214: reward=-32.01 vs 90.22, winner=blue, r_win=0:45:5, win=4:194:16, time=188/50272
215: reward=-32.78 vs 92.14, winner=blue, r_win=0:45:5, win=4:195:16, time=158/50430
216: reward=-29.98 vs 91.01, winner=blue, r_win=0:45:5, win=4:196:16, time=388/50818
217: reward=-33.58 vs 91.75, winner=blue, r_win=0:45:5, win=4:197:16, time=165/50983
218: reward=-33.55 vs 91.68, winner=blue, r_win=0:45:5, win=4:198:16, time=166/51150
219: reward=-35.03 vs 92.98, winner=blue, r_win=0:45:5, win=4:199:16, time=148/51297
220: reward=-11.46 vs -2.66, winner=draw, r_win=0:44:6, win=4:199:17, time=513/51810
221: reward=-33.17 vs 90.72, winner=blue, r_win=0:45:5, win=4:200:17, time=182/51992
222: reward=-29.28 vs 84.15, winner=blue, r_win=0:45:5, win=4:201:17, time=318/52309
223: reward=-32.36 vs 91.10, winner=blue, r_win=0:45:5, win=4:202:17, time=174/52484
224: reward=-31.23 vs 88.86, winner=blue, r_win=0:45:5, win=4:203:17, time=286/52769
225: reward=-30.66 vs 88.96, winner=blue, r_win=0:46:4, win=4:204:17, time=324/53093
226: reward=-31.90 vs 89.95, winner=blue, r_win=0:46:4, win=4:205:17, time=193/53286
227: reward=-32.95 vs 92.57, winner=blue, r_win=0:46:4, win=4:206:17, time=151/53437
228: reward=-33.61 vs 89.43, winner=blue, r_win=0:46:4, win=4:207:17, time=205/53642
229: reward=-34.81 vs 92.41, winner=blue, r_win=0:46:4, win=4:208:17, time=157/53798
230: reward=-10.26 vs -6.96, winner=draw, r_win=0:45:5, win=4:208:18, time=620/54418
231: reward=-33.48 vs 91.34, winner=blue, r_win=0:45:5, win=4:209:18, time=224/54642
232: reward=-32.17 vs 90.62, winner=blue, r_win=0:45:5, win=4:210:18, time=182/54824
233: reward=-32.09 vs 90.42, winner=blue, r_win=0:46:4, win=4:211:18, time=185/55009
234: reward=-33.69 vs 92.03, winner=blue, r_win=0:47:3, win=4:212:18, time=161/55170
235: reward=-31.40 vs 88.71, winner=blue, r_win=0:47:3, win=4:213:18, time=214/55384
236: reward=-31.00 vs 87.70, winner=blue, r_win=0:47:3, win=4:214:18, time=231/55615
237: reward=-31.74 vs 89.56, winner=blue, r_win=0:47:3, win=4:215:18, time=199/55815
238: reward=-35.29 vs 93.63, winner=blue, r_win=0:47:3, win=4:216:18, time=138/55952
239: reward=-34.39 vs 91.37, winner=blue, r_win=0:47:3, win=4:217:18, time=173/56126
240: reward=-32.40 vs 88.81, winner=blue, r_win=0:47:3, win=4:218:18, time=214/56339
