153: reward=0.00 vs 72.48, recent_win=4 vs 45, winner=blue, win=12 vs 137, draw=4, time=480/69029
154: reward=0.00 vs 68.87, recent_win=4 vs 45, winner=blue, win=12 vs 138, draw=4, time=585/69614
155: reward=0.00 vs 74.03, recent_win=4 vs 45, winner=blue, win=12 vs 139, draw=4, time=440/70054
156: reward=0.00 vs 60.85, recent_win=4 vs 45, winner=blue, win=12 vs 140, draw=4, time=917/70970
157: reward=0.00 vs 70.55, recent_win=4 vs 45, winner=blue, win=12 vs 141, draw=4, time=534/71504
158: reward=0.00 vs 67.51, recent_win=4 vs 45, winner=blue, win=12 vs 142, draw=4, time=630/72133
159: reward=0.00 vs 80.60, recent_win=4 vs 45, winner=blue, win=12 vs 143, draw=4, time=295/72428
160: reward=0.00 vs 69.13, recent_win=4 vs 45, winner=blue, win=12 vs 144, draw=4, time=577/73005
161: reward=0.00 vs 75.22, recent_win=4 vs 45, winner=blue, win=12 vs 145, draw=4, time=411/73415
162: reward=0.00 vs 0.00, recent_win=3 vs 45, winner=draw, win=12 vs 145, draw=5, time=409/73824
163: reward=0.00 vs 0.00, recent_win=3 vs 44, winner=draw, win=12 vs 145, draw=6, time=548/74371
164: reward=0.00 vs 70.44, recent_win=3 vs 44, winner=blue, win=12 vs 146, draw=6, time=537/74908
165: reward=0.00 vs 69.19, recent_win=3 vs 44, winner=blue, win=12 vs 147, draw=6, time=575/75483
166: reward=0.00 vs 75.05, recent_win=3 vs 44, winner=blue, win=12 vs 148, draw=6, time=415/75897
167: reward=0.00 vs 57.86, recent_win=3 vs 44, winner=blue, win=12 vs 149, draw=6, time=1111/77008
168: reward=0.00 vs 64.70, recent_win=3 vs 44, winner=blue, win=12 vs 150, draw=6, time=735/77742
169: reward=0.00 vs 74.97, recent_win=2 vs 45, winner=blue, win=12 vs 151, draw=6, time=417/78159
170: reward=0.00 vs 0.00, recent_win=2 vs 44, winner=draw, win=12 vs 151, draw=7, time=389/78548
171: reward=0.00 vs 71.93, recent_win=2 vs 44, winner=blue, win=12 vs 152, draw=7, time=495/79042
172: reward=0.00 vs 71.74, recent_win=2 vs 44, winner=blue, win=12 vs 153, draw=7, time=500/79542
