275: reward=92.94 vs 0.00, winner=red, r_win=31:1:18, win=140:9:126, time=113/23225
276: reward=95.61 vs 0.00, winner=red, r_win=32:1:17, win=141:9:126, time=75/23300
277: reward=0.00 vs 0.00, winner=draw, r_win=31:1:18, win=141:9:127, time=91/23391
278: reward=96.23 vs 0.00, winner=red, r_win=31:1:18, win=142:9:127, time=60/23451
279: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=142:9:128, time=103/23554
280: reward=93.52 vs 0.00, winner=red, r_win=30:1:19, win=143:9:128, time=97/23651
281: reward=94.02 vs 0.00, winner=red, r_win=30:1:19, win=144:9:128, time=97/23748
282: reward=94.55 vs 0.00, winner=red, r_win=30:1:19, win=145:9:128, time=83/23831
283: reward=92.90 vs 0.00, winner=red, r_win=30:1:19, win=146:9:128, time=106/23937
284: reward=0.00 vs 0.00, winner=draw, r_win=29:1:20, win=146:9:129, time=103/24040
285: reward=0.00 vs 0.00, winner=draw, r_win=29:1:20, win=146:9:130, time=63/24103
286: reward=94.81 vs 0.00, winner=red, r_win=30:1:19, win=147:9:130, time=86/24189
287: reward=96.02 vs 0.00, winner=red, r_win=30:1:19, win=148:9:130, time=70/24259
288: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=148:9:131, time=65/24324
289: reward=92.60 vs 0.00, winner=red, r_win=30:1:19, win=149:9:131, time=110/24435
290: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=149:9:132, time=51/24486
291: reward=93.60 vs 0.00, winner=red, r_win=30:1:19, win=150:9:132, time=96/24582
292: reward=95.69 vs 0.00, winner=red, r_win=30:1:19, win=151:9:132, time=74/24656
293: reward=94.71 vs 0.00, winner=red, r_win=31:1:18, win=152:9:132, time=81/24737
294: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=152:9:133, time=100/24837
295: reward=92.64 vs 0.00, winner=red, r_win=30:1:19, win=153:9:133, time=117/24954
296: reward=94.97 vs 0.00, winner=red, r_win=31:1:18, win=154:9:133, time=84/25038
297: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=154:9:134, time=99/25138
298: reward=96.18 vs 0.00, winner=red, r_win=31:1:18, win=155:9:134, time=68/25205
299: reward=94.47 vs 0.00, winner=red, r_win=31:1:18, win=156:9:134, time=84/25289
300: reward=0.00 vs 0.00, winner=draw, r_win=30:1:19, win=156:9:135, time=59/25348
301: reward=95.69 vs 0.00, winner=red, r_win=31:1:18, win=157:9:135, time=74/25422
