259: reward=78.11 vs -31.90, winner=red, r_win=47:3:0, win=242:16:1, time=370/93069
260: reward=77.18 vs -31.35, winner=red, r_win=47:3:0, win=243:16:1, time=384/93453
261: reward=80.40 vs -32.82, winner=red, r_win=47:3:0, win=244:16:1, time=321/93774
262: reward=76.78 vs -31.13, winner=red, r_win=47:3:0, win=245:16:1, time=391/94164
263: reward=79.52 vs -32.29, winner=red, r_win=47:3:0, win=246:16:1, time=333/94497
264: reward=78.40 vs -31.84, winner=red, r_win=47:3:0, win=247:16:1, time=357/94853
265: reward=78.83 vs -32.19, winner=red, r_win=47:3:0, win=248:16:1, time=354/95207
266: reward=76.45 vs -30.88, winner=red, r_win=47:3:0, win=249:16:1, time=394/95601
267: reward=79.09 vs -32.06, winner=red, r_win=47:3:0, win=250:16:1, time=340/95940
268: reward=79.92 vs -32.63, winner=red, r_win=47:3:0, win=251:16:1, time=331/96271
269: reward=-26.63 vs 66.57, winner=blue, r_win=46:4:0, win=251:17:1, time=663/96933
270: reward=79.97 vs -32.65, winner=red, r_win=47:3:0, win=252:17:1, time=330/97263
271: reward=76.42 vs -31.11, winner=red, r_win=47:3:0, win=253:17:1, time=404/97667
272: reward=74.71 vs -30.13, winner=red, r_win=47:3:0, win=254:17:1, time=433/98099
273: reward=77.64 vs -31.59, winner=red, r_win=47:3:0, win=255:17:1, time=376/98475
274: reward=77.96 vs -31.78, winner=red, r_win=47:3:0, win=256:17:1, time=371/98845
275: reward=79.42 vs -32.19, winner=red, r_win=47:3:0, win=257:17:1, time=333/99178
276: reward=79.87 vs -32.67, winner=red, r_win=47:3:0, win=258:17:1, time=334/99512
277: reward=76.32 vs -31.01, winner=red, r_win=47:3:0, win=259:17:1, time=404/99915
278: reward=79.92 vs -32.63, winner=red, r_win=47:3:0, win=260:17:1, time=331/100246
279: reward=80.40 vs -32.82, winner=red, r_win=47:3:0, win=261:17:1, time=321/100566
280: reward=74.14 vs -30.08, winner=red, r_win=47:3:0, win=262:17:1, time=455/101021
281: reward=78.24 vs -31.96, winner=red, r_win=47:3:0, win=263:17:1, time=367/101388
282: reward=-33.60 vs 85.19, winner=blue, r_win=46:4:0, win=263:18:1, time=197/101585
283: reward=77.88 vs -31.81, winner=red, r_win=46:4:0, win=264:18:1, time=375/101960
284: reward=77.80 vs -31.54, winner=red, r_win=46:4:0, win=265:18:1, time=368/102327
285: reward=75.78 vs -30.67, winner=red, r_win=46:4:0, win=266:18:1, time=412/102739
286: reward=78.77 vs -31.99, winner=red, r_win=47:3:0, win=267:18:1, time=349/103087
287: reward=-32.63 vs 82.77, winner=blue, r_win=46:4:0, win=267:19:1, time=239/103326
288: reward=79.57 vs -32.31, winner=red, r_win=46:4:0, win=268:19:1, time=332/103658
289: reward=79.68 vs -32.53, winner=red, r_win=46:4:0, win=269:19:1, time=336/103994
290: reward=78.19 vs -31.87, winner=red, r_win=46:4:0, win=270:19:1, time=366/104359
291: reward=77.83 vs -31.73, winner=red, r_win=46:4:0, win=271:19:1, time=374/104733
292: reward=70.27 vs -28.29, winner=red, r_win=46:4:0, win=272:19:1, time=551/105283
293: reward=74.55 vs -30.06, winner=red, r_win=47:3:0, win=273:19:1, time=437/105720
294: reward=79.87 vs -32.61, winner=red, r_win=47:3:0, win=274:19:1, time=332/106052
295: reward=79.44 vs -32.37, winner=red, r_win=47:3:0, win=275:19:1, time=339/106390
296: reward=75.32 vs -30.61, winner=red, r_win=47:3:0, win=276:19:1, time=428/106818
297: reward=76.07 vs -30.79, winner=red, r_win=47:3:0, win=277:19:1, time=405/107222
298: reward=79.25 vs -32.36, winner=red, r_win=47:3:0, win=278:19:1, time=345/107567
