161: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 161, recent_win=0 vs 50, draw=0, winner=blue, time=76/13906
162: reward=0.90 vs 94.06, reward_evade=1.00 vs 1.00, win=0 vs 162, recent_win=0 vs 50, draw=0, winner=blue, time=104/14010
163: reward=0.90 vs 94.84, reward_evade=1.00 vs 1.00, win=0 vs 163, recent_win=0 vs 50, draw=0, winner=blue, time=93/14103
164: reward=0.90 vs 97.27, reward_evade=1.00 vs 2.00, win=0 vs 164, recent_win=0 vs 50, draw=0, winner=blue, time=73/14176
165: reward=0.90 vs 94.21, reward_evade=1.00 vs 1.00, win=0 vs 165, recent_win=0 vs 50, draw=0, winner=blue, time=102/14277
166: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 166, recent_win=0 vs 50, draw=0, winner=blue, time=76/14354
167: reward=0.90 vs 92.78, reward_evade=1.00 vs 2.00, win=0 vs 167, recent_win=0 vs 50, draw=0, winner=blue, time=136/14489
168: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 168, recent_win=0 vs 50, draw=0, winner=blue, time=78/14568
169: reward=0.90 vs 97.08, reward_evade=1.00 vs 1.00, win=0 vs 169, recent_win=0 vs 50, draw=0, winner=blue, time=62/14630
170: reward=0.90 vs 97.08, reward_evade=1.00 vs 1.00, win=0 vs 170, recent_win=0 vs 50, draw=0, winner=blue, time=62/14692
171: reward=0.90 vs 94.60, reward_evade=1.00 vs 1.00, win=0 vs 171, recent_win=0 vs 50, draw=0, winner=blue, time=96/14788
172: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 172, recent_win=0 vs 50, draw=0, winner=blue, time=78/14867
173: reward=0.90 vs 97.52, reward_evade=1.00 vs 2.00, win=0 vs 173, recent_win=0 vs 50, draw=0, winner=blue, time=70/14937
174: reward=0.90 vs 96.11, reward_evade=1.00 vs 1.00, win=0 vs 174, recent_win=0 vs 50, draw=0, winner=blue, time=75/15012
175: reward=0.90 vs 96.71, reward_evade=1.00 vs 2.00, win=0 vs 175, recent_win=0 vs 50, draw=0, winner=blue, time=81/15092
176: reward=0.90 vs 96.76, reward_evade=1.00 vs 1.00, win=0 vs 176, recent_win=0 vs 50, draw=0, winner=blue, time=66/15159
177: reward=0.90 vs 97.35, reward_evade=1.00 vs 2.00, win=0 vs 177, recent_win=0 vs 50, draw=0, winner=blue, time=72/15231
178: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 178, recent_win=0 vs 50, draw=0, winner=blue, time=78/15309
179: reward=0.90 vs 94.44, reward_evade=1.00 vs 1.00, win=0 vs 179, recent_win=0 vs 50, draw=0, winner=blue, time=98/15408
180: reward=0.90 vs 97.19, reward_evade=1.00 vs 2.00, win=0 vs 180, recent_win=0 vs 50, draw=0, winner=blue, time=74/15482
181: reward=0.90 vs 96.35, reward_evade=1.00 vs 1.00, win=0 vs 181, recent_win=0 vs 50, draw=0, winner=blue, time=72/15554
182: reward=0.90 vs 97.15, reward_evade=1.00 vs 1.00, win=0 vs 182, recent_win=0 vs 50, draw=0, winner=blue, time=61/15615
183: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 183, recent_win=0 vs 50, draw=0, winner=blue, time=76/15691
184: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 184, recent_win=0 vs 50, draw=0, winner=blue, time=106/15797
185: reward=0.90 vs 94.29, reward_evade=1.00 vs 1.00, win=0 vs 185, recent_win=0 vs 50, draw=0, winner=blue, time=100/15898
186: reward=0.90 vs 96.71, reward_evade=1.00 vs 2.00, win=0 vs 186, recent_win=0 vs 50, draw=0, winner=blue, time=81/15978
187: reward=0.90 vs 96.03, reward_evade=1.00 vs 1.00, win=0 vs 187, recent_win=0 vs 50, draw=0, winner=blue, time=76/16055
188: reward=0.90 vs 96.79, reward_evade=1.00 vs 2.00, win=0 vs 188, recent_win=0 vs 50, draw=0, winner=blue, time=80/16134
189: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 189, recent_win=0 vs 50, draw=0, winner=blue, time=76/16210
190: reward=0.90 vs 97.27, reward_evade=1.00 vs 2.00, win=0 vs 190, recent_win=0 vs 50, draw=0, winner=blue, time=73/16283
191: reward=0.90 vs 96.27, reward_evade=1.00 vs 1.00, win=0 vs 191, recent_win=0 vs 50, draw=0, winner=blue, time=73/16356
192: reward=0.90 vs 93.83, reward_evade=1.00 vs 1.00, win=0 vs 192, recent_win=0 vs 50, draw=0, winner=blue, time=107/16464
193: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 193, recent_win=0 vs 50, draw=0, winner=blue, time=106/16570
194: reward=0.90 vs 95.99, reward_evade=1.00 vs 2.00, win=0 vs 194, recent_win=0 vs 50, draw=0, winner=blue, time=91/16660
