162: reward=1.00 vs 0.90, win=5 vs 137, recent_win=0 vs 48, draw=20, winner=blue, time=78/13587
163: reward=1.00 vs 0.90, win=5 vs 138, recent_win=0 vs 48, draw=20, winner=blue, time=82/13669
164: reward=1.00 vs 0.90, win=5 vs 139, recent_win=0 vs 48, draw=20, winner=blue, time=87/13756
165: reward=1.00 vs 1.00, win=5 vs 140, recent_win=0 vs 48, draw=20, winner=blue, time=68/13824
166: reward=1.00 vs 0.90, win=5 vs 141, recent_win=0 vs 48, draw=20, winner=blue, time=77/13901
167: reward=0.95 vs 0.90, win=5 vs 142, recent_win=0 vs 48, draw=20, winner=blue, time=86/13987
168: reward=0.95 vs 1.00, win=5 vs 143, recent_win=0 vs 48, draw=20, winner=blue, time=61/14049
169: reward=2.00 vs 0.80, win=5 vs 144, recent_win=0 vs 48, draw=20, winner=blue, time=76/14125
170: reward=1.00 vs 0.90, win=5 vs 145, recent_win=0 vs 48, draw=20, winner=blue, time=76/14201
171: reward=2.00 vs -0.20, win=5 vs 146, recent_win=0 vs 48, draw=20, winner=blue, time=78/14280
172: reward=2.00 vs 1.00, win=5 vs 147, recent_win=0 vs 48, draw=20, winner=blue, time=61/14341
173: reward=1.00 vs 0.90, win=5 vs 148, recent_win=0 vs 48, draw=20, winner=blue, time=86/14427
174: reward=1.00 vs 0.90, win=5 vs 149, recent_win=0 vs 48, draw=20, winner=blue, time=76/14503
175: reward=1.00 vs 0.80, win=5 vs 150, recent_win=0 vs 48, draw=20, winner=blue, time=89/14593
176: reward=1.95 vs -0.20, win=5 vs 151, recent_win=0 vs 48, draw=20, winner=blue, time=86/14679
177: reward=1.00 vs 0.90, win=5 vs 152, recent_win=0 vs 48, draw=20, winner=blue, time=97/14776
178: reward=1.00 vs 0.90, win=5 vs 153, recent_win=0 vs 48, draw=20, winner=blue, time=76/14853
179: reward=1.00 vs 1.00, win=5 vs 154, recent_win=0 vs 48, draw=20, winner=blue, time=69/14921
180: reward=-0.05 vs 1.00, win=5 vs 155, recent_win=0 vs 48, draw=20, winner=blue, time=61/14982
181: reward=-0.05 vs 1.00, win=5 vs 156, recent_win=0 vs 48, draw=20, winner=blue, time=77/15060
182: reward=1.00 vs 0.90, win=5 vs 157, recent_win=0 vs 48, draw=20, winner=blue, time=76/15136
183: reward=1.00 vs 0.90, win=5 vs 158, recent_win=0 vs 49, draw=20, winner=blue, time=82/15218
184: reward=1.00 vs 1.00, win=5 vs 159, recent_win=0 vs 49, draw=20, winner=blue, time=61/15279
185: reward=1.00 vs 1.00, win=5 vs 160, recent_win=0 vs 49, draw=20, winner=blue, time=65/15344
186: reward=1.95 vs -0.20, win=5 vs 161, recent_win=0 vs 50, draw=20, winner=blue, time=78/15423
187: reward=1.00 vs 0.90, win=5 vs 162, recent_win=0 vs 50, draw=20, winner=blue, time=87/15510
188: reward=-0.05 vs 1.00, win=5 vs 162, recent_win=0 vs 49, draw=21, winner=draw, time=53/15563
