150: reward=5.00 vs 89.06, reward_evade=0.00 vs 0.00, win=56 vs 41, recent_win=16 vs 14, draw=53, winner=blue, time=154/17729
151: reward=92.05 vs -0.10, reward_evade=0.00 vs 0.00, win=57 vs 41, recent_win=17 vs 13, draw=53, winner=red, time=147/17876
152: reward=92.05 vs -0.10, reward_evade=0.00 vs 0.00, win=57 vs 41, recent_win=17 vs 13, draw=54, winner=draw, time=104/17980
153: reward=92.56 vs -0.10, reward_evade=0.00 vs 0.00, win=58 vs 41, recent_win=17 vs 13, draw=54, winner=red, time=139/18119
154: reward=92.84 vs -0.20, reward_evade=0.00 vs 0.00, win=59 vs 41, recent_win=18 vs 12, draw=54, winner=red, time=150/18269
155: reward=93.99 vs -0.10, reward_evade=0.00 vs 0.00, win=60 vs 41, recent_win=19 vs 12, draw=54, winner=red, time=119/18388
156: reward=4.00 vs 89.80, reward_evade=0.00 vs 0.00, win=60 vs 42, recent_win=19 vs 12, draw=54, winner=blue, time=144/18533
157: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=60 vs 42, recent_win=19 vs 12, draw=55, winner=draw, time=106/18639
158: reward=4.00 vs 90.61, reward_evade=0.00 vs 0.00, win=60 vs 43, recent_win=19 vs 12, draw=55, winner=blue, time=149/18788
159: reward=4.00 vs 90.09, reward_evade=0.00 vs 0.00, win=60 vs 44, recent_win=19 vs 13, draw=55, winner=blue, time=140/18928
160: reward=91.84 vs -0.10, reward_evade=0.00 vs 0.00, win=61 vs 44, recent_win=19 vs 13, draw=55, winner=red, time=150/19078
161: reward=4.00 vs 90.09, reward_evade=0.00 vs 0.00, win=61 vs 45, recent_win=18 vs 14, draw=55, winner=blue, time=140/19218
162: reward=4.00 vs 91.97, reward_evade=0.00 vs 0.00, win=61 vs 46, recent_win=18 vs 15, draw=55, winner=blue, time=114/19331
163: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=61 vs 47, recent_win=18 vs 15, draw=55, winner=blue, time=143/19475
164: reward=94.04 vs -0.10, reward_evade=0.00 vs 0.00, win=62 vs 47, recent_win=19 vs 14, draw=55, winner=red, time=117/19592
165: reward=92.78 vs -0.10, reward_evade=0.00 vs 0.00, win=63 vs 47, recent_win=20 vs 13, draw=55, winner=red, time=136/19728
166: reward=92.95 vs -0.10, reward_evade=0.00 vs 0.00, win=64 vs 47, recent_win=21 vs 13, draw=55, winner=red, time=135/19862
167: reward=4.00 vs 91.67, reward_evade=0.00 vs 0.00, win=64 vs 48, recent_win=20 vs 14, draw=55, winner=blue, time=118/19980
168: reward=3.00 vs 90.12, reward_evade=0.00 vs 0.00, win=64 vs 49, recent_win=19 vs 15, draw=55, winner=blue, time=141/20121
169: reward=1.00 vs 0.90, reward_evade=0.00 vs 0.00, win=64 vs 49, recent_win=19 vs 14, draw=56, winner=draw, time=124/20245
170: reward=93.62 vs 0.90, reward_evade=0.00 vs 0.00, win=65 vs 49, recent_win=20 vs 14, draw=56, winner=red, time=125/20370
171: reward=93.62 vs 1.00, reward_evade=0.00 vs 0.00, win=65 vs 49, recent_win=19 vs 14, draw=57, winner=draw, time=122/20492
172: reward=93.62 vs 1.00, reward_evade=0.00 vs 0.00, win=65 vs 49, recent_win=19 vs 14, draw=58, winner=draw, time=95/20587
173: reward=4.00 vs 92.20, reward_evade=0.00 vs 0.00, win=65 vs 50, recent_win=19 vs 15, draw=58, winner=blue, time=110/20698
174: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=65 vs 50, recent_win=19 vs 15, draw=59, winner=draw, time=56/20754
175: reward=4.00 vs 90.45, reward_evade=0.00 vs 0.00, win=65 vs 51, recent_win=19 vs 15, draw=59, winner=blue, time=135/20888
176: reward=96.91 vs -0.10, reward_evade=0.00 vs 0.00, win=66 vs 51, recent_win=20 vs 15, draw=59, winner=red, time=92/20980
177: reward=4.00 vs 91.74, reward_evade=0.00 vs 0.00, win=66 vs 52, recent_win=20 vs 15, draw=59, winner=blue, time=117/21097
178: reward=4.00 vs 91.97, reward_evade=0.00 vs 0.00, win=66 vs 53, recent_win=20 vs 15, draw=59, winner=blue, time=114/21211
179: reward=4.00 vs 91.97, reward_evade=0.00 vs 0.00, win=66 vs 53, recent_win=20 vs 15, draw=60, winner=draw, time=89/21300
180: reward=4.00 vs 89.44, reward_evade=0.00 vs 0.00, win=66 vs 54, recent_win=20 vs 16, draw=60, winner=blue, time=150/21450
181: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=66 vs 54, recent_win=20 vs 16, draw=61, winner=draw, time=103/21553
182: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=66 vs 54, recent_win=20 vs 15, draw=62, winner=draw, time=103/21656
183: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=66 vs 54, recent_win=19 vs 15, draw=63, winner=draw, time=104/21760
184: reward=93.84 vs -0.20, reward_evade=0.00 vs 0.00, win=67 vs 54, recent_win=20 vs 14, draw=63, winner=red, time=150/21910
185: reward=93.84 vs 1.00, reward_evade=0.00 vs 0.00, win=67 vs 54, recent_win=19 vs 14, draw=64, winner=draw, time=104/22013
186: reward=93.84 vs 1.00, reward_evade=0.00 vs 0.00, win=67 vs 54, recent_win=19 vs 14, draw=65, winner=draw, time=129/22142
187: reward=4.00 vs 89.87, reward_evade=0.00 vs 0.00, win=67 vs 55, recent_win=18 vs 15, draw=65, winner=blue, time=143/22286
188: reward=92.93 vs -0.10, reward_evade=0.00 vs 0.00, win=68 vs 55, recent_win=19 vs 15, draw=65, winner=red, time=133/22419
