184: reward=0.50 vs 0.00, recent_win=1 vs 31, winner=draw, win=3 vs 112, draw=69, time=160/24034
185: reward=1.40 vs 88.80, recent_win=1 vs 31, winner=blue, win=3 vs 113, draw=69, time=152/24186
186: reward=-0.30 vs 0.00, recent_win=1 vs 30, winner=draw, win=3 vs 113, draw=70, time=96/24282
187: reward=-0.50 vs 0.00, recent_win=0 vs 30, winner=draw, win=3 vs 113, draw=71, time=143/24425
188: reward=5.10 vs 85.79, recent_win=0 vs 30, winner=blue, win=3 vs 114, draw=71, time=201/24626
189: reward=0.60 vs 91.44, recent_win=0 vs 31, winner=blue, win=3 vs 115, draw=71, time=113/24739
190: reward=2.50 vs 91.22, recent_win=0 vs 32, winner=blue, win=3 vs 116, draw=71, time=116/24855
191: reward=1.40 vs 90.17, recent_win=0 vs 32, winner=blue, win=3 vs 117, draw=71, time=131/24986
192: reward=1.40 vs 88.73, recent_win=0 vs 32, winner=blue, win=3 vs 118, draw=71, time=153/25139
193: reward=94.17 vs 0.00, recent_win=1 vs 31, winner=red, win=4 vs 118, draw=71, time=84/25223
194: reward=90.27 vs 0.00, recent_win=2 vs 30, winner=red, win=5 vs 118, draw=71, time=151/25374
195: reward=-0.50 vs 90.32, recent_win=2 vs 31, winner=blue, win=5 vs 119, draw=71, time=129/25503
196: reward=2.30 vs 88.94, recent_win=2 vs 31, winner=blue, win=5 vs 120, draw=71, time=150/25653
197: reward=5.00 vs 85.40, recent_win=2 vs 32, winner=blue, win=5 vs 121, draw=71, time=207/25861
198: reward=2.40 vs 90.03, recent_win=2 vs 33, winner=blue, win=5 vs 122, draw=71, time=133/25994
199: reward=4.10 vs 86.86, recent_win=2 vs 33, winner=blue, win=5 vs 123, draw=71, time=183/26177
200: reward=-0.30 vs 92.52, recent_win=2 vs 34, winner=blue, win=5 vs 124, draw=71, time=97/26274
201: reward=3.10 vs 86.19, recent_win=2 vs 34, winner=blue, win=5 vs 125, draw=71, time=194/26468
202: reward=5.00 vs 0.00, recent_win=2 vs 33, winner=draw, win=5 vs 125, draw=72, time=208/26677
203: reward=2.30 vs 88.80, recent_win=2 vs 34, winner=blue, win=5 vs 126, draw=72, time=152/26829
204: reward=2.30 vs 88.02, recent_win=2 vs 34, winner=blue, win=5 vs 127, draw=72, time=164/26993
205: reward=1.30 vs 0.00, recent_win=2 vs 33, winner=draw, win=5 vs 127, draw=73, time=159/27152
206: reward=0.40 vs 89.44, recent_win=2 vs 33, winner=blue, win=5 vs 128, draw=73, time=142/27294
207: reward=0.40 vs 0.00, recent_win=2 vs 32, winner=draw, win=5 vs 128, draw=74, time=133/27428
208: reward=3.30 vs 87.88, recent_win=2 vs 32, winner=blue, win=5 vs 129, draw=74, time=166/27594
209: reward=-0.40 vs 0.00, recent_win=2 vs 31, winner=draw, win=5 vs 129, draw=75, time=91/27685
210: reward=-0.30 vs 0.00, recent_win=2 vs 31, winner=draw, win=5 vs 129, draw=76, time=81/27765
211: reward=0.50 vs 91.22, recent_win=2 vs 32, winner=blue, win=5 vs 130, draw=76, time=116/27881
212: reward=0.60 vs 0.00, recent_win=2 vs 32, winner=draw, win=5 vs 130, draw=77, time=100/27982
213: reward=4.30 vs 88.66, recent_win=2 vs 32, winner=blue, win=5 vs 131, draw=77, time=154/28136
214: reward=1.40 vs 89.15, recent_win=2 vs 33, winner=blue, win=5 vs 132, draw=77, time=147/28283
215: reward=0.50 vs 90.69, recent_win=2 vs 33, winner=blue, win=5 vs 133, draw=77, time=124/28407
216: reward=0.40 vs 0.00, recent_win=2 vs 32, winner=draw, win=5 vs 133, draw=78, time=141/28548
217: reward=0.40 vs 0.00, recent_win=2 vs 31, winner=draw, win=5 vs 133, draw=79, time=152/28700
218: reward=-0.40 vs 0.00, recent_win=2 vs 31, winner=draw, win=5 vs 133, draw=80, time=137/28837
219: reward=0.60 vs 91.22, recent_win=2 vs 31, winner=blue, win=5 vs 134, draw=80, time=116/28953
220: reward=1.40 vs 0.00, recent_win=2 vs 30, winner=draw, win=5 vs 134, draw=81, time=143/29096
221: reward=0.40 vs 0.00, recent_win=2 vs 30, winner=draw, win=5 vs 134, draw=82, time=136/29232
222: reward=1.50 vs 91.29, recent_win=2 vs 31, winner=blue, win=5 vs 135, draw=82, time=115/29347
223: reward=-0.30 vs 0.00, recent_win=2 vs 30, winner=draw, win=5 vs 135, draw=83, time=85/29432
224: reward=-0.20 vs 0.00, recent_win=2 vs 29, winner=draw, win=5 vs 135, draw=84, time=94/29526
225: reward=4.20 vs 88.09, recent_win=2 vs 30, winner=blue, win=5 vs 136, draw=84, time=163/29689
226: reward=5.90 vs 85.08, recent_win=2 vs 30, winner=blue, win=5 vs 137, draw=84, time=213/29901
227: reward=0.40 vs 89.30, recent_win=2 vs 30, winner=blue, win=5 vs 138, draw=84, time=144/30046
228: reward=2.30 vs 88.87, recent_win=2 vs 31, winner=blue, win=5 vs 139, draw=84, time=151/30197
229: reward=-0.20 vs 0.00, recent_win=2 vs 30, winner=draw, win=5 vs 139, draw=85, time=70/30267
230: reward=-0.50 vs 0.00, recent_win=2 vs 29, winner=draw, win=5 vs 139, draw=86, time=135/30401
231: reward=94.25 vs 0.00, recent_win=3 vs 28, winner=red, win=6 vs 139, draw=86, time=83/30484
232: reward=-0.10 vs 0.00, recent_win=3 vs 27, winner=draw, win=6 vs 139, draw=87, time=65/30550
233: reward=0.60 vs 91.83, recent_win=3 vs 28, winner=blue, win=6 vs 140, draw=87, time=107/30657
234: reward=-0.40 vs 0.00, recent_win=3 vs 28, winner=draw, win=6 vs 140, draw=88, time=130/30787
235: reward=2.40 vs 90.32, recent_win=3 vs 28, winner=blue, win=6 vs 141, draw=88, time=129/30916
236: reward=3.30 vs 87.88, recent_win=3 vs 29, winner=blue, win=6 vs 142, draw=88, time=166/31082
237: reward=-0.50 vs 0.00, recent_win=3 vs 29, winner=draw, win=6 vs 142, draw=89, time=151/31234
238: reward=0.40 vs 90.03, recent_win=3 vs 29, winner=blue, win=6 vs 143, draw=89, time=133/31367
239: reward=2.30 vs 88.16, recent_win=3 vs 29, winner=blue, win=6 vs 144, draw=89, time=162/31529
240: reward=-0.20 vs 0.00, recent_win=3 vs 28, winner=draw, win=6 vs 144, draw=90, time=72/31601
241: reward=0.60 vs 91.52, recent_win=3 vs 28, winner=blue, win=6 vs 145, draw=90, time=111/31713
242: reward=4.10 vs 85.92, recent_win=3 vs 28, winner=blue, win=6 vs 146, draw=90, time=198/31911
243: reward=3.30 vs 89.08, recent_win=2 vs 29, winner=blue, win=6 vs 147, draw=90, time=148/32059
244: reward=-0.50 vs 0.00, recent_win=1 vs 29, winner=draw, win=6 vs 147, draw=91, time=138/32197
245: reward=-0.20 vs 0.00, recent_win=1 vs 28, winner=draw, win=6 vs 147, draw=92, time=77/32274
246: reward=-0.40 vs 0.00, recent_win=1 vs 27, winner=draw, win=6 vs 147, draw=93, time=137/32411
247: reward=0.60 vs 0.00, recent_win=1 vs 26, winner=draw, win=6 vs 147, draw=94, time=110/32521
248: reward=0.60 vs 90.62, recent_win=1 vs 26, winner=blue, win=6 vs 148, draw=94, time=125/32646
249: reward=0.40 vs 87.95, recent_win=1 vs 26, winner=blue, win=6 vs 149, draw=94, time=165/32811
250: reward=0.70 vs 0.00, recent_win=1 vs 25, winner=draw, win=6 vs 149, draw=95, time=98/32910
251: reward=0.40 vs 88.87, recent_win=1 vs 25, winner=blue, win=6 vs 150, draw=95, time=151/33061
252: reward=0.60 vs 0.00, recent_win=1 vs 25, winner=draw, win=6 vs 150, draw=96, time=111/33172
253: reward=2.50 vs 90.25, recent_win=1 vs 25, winner=blue, win=6 vs 151, draw=96, time=130/33302
