165: reward=3.78 vs 0.00, recent_win=6 vs 33, winner=draw, win=13 vs 117, draw=35, time=899/94770
166: reward=75.69 vs 0.00, recent_win=7 vs 32, winner=red, win=14 vs 117, draw=35, time=474/95244
167: reward=2.50 vs 67.66, recent_win=7 vs 32, winner=blue, win=14 vs 118, draw=35, time=625/95869
168: reward=73.26 vs 0.00, recent_win=8 vs 31, winner=red, win=15 vs 118, draw=35, time=527/96395
169: reward=1.38 vs 0.00, recent_win=8 vs 30, winner=draw, win=15 vs 118, draw=36, time=460/96855
170: reward=0.34 vs 78.01, recent_win=8 vs 30, winner=blue, win=15 vs 119, draw=36, time=348/97202
171: reward=2.86 vs 68.84, recent_win=8 vs 30, winner=blue, win=15 vs 120, draw=36, time=586/97788
172: reward=1.90 vs 70.58, recent_win=8 vs 30, winner=blue, win=15 vs 121, draw=36, time=533/98321
173: reward=1.39 vs 71.67, recent_win=8 vs 30, winner=blue, win=15 vs 122, draw=36, time=502/98822
174: reward=2.71 vs 67.13, recent_win=8 vs 30, winner=blue, win=15 vs 123, draw=36, time=643/99465
175: reward=0.36 vs 76.56, recent_win=8 vs 30, winner=blue, win=15 vs 124, draw=36, time=380/99844
176: reward=0.32 vs 82.84, recent_win=8 vs 30, winner=blue, win=15 vs 125, draw=36, time=252/100097
177: reward=0.33 vs 81.06, recent_win=8 vs 30, winner=blue, win=15 vs 126, draw=36, time=286/100382
178: reward=2.49 vs 68.50, recent_win=8 vs 31, winner=blue, win=15 vs 127, draw=36, time=597/100979
179: reward=1.36 vs 77.05, recent_win=8 vs 32, winner=blue, win=15 vs 128, draw=36, time=369/101348
180: reward=1.93 vs 0.00, recent_win=8 vs 31, winner=draw, win=15 vs 128, draw=37, time=652/101999
181: reward=0.34 vs 78.53, recent_win=7 vs 32, winner=blue, win=15 vs 129, draw=37, time=337/102336
182: reward=1.36 vs 76.83, recent_win=7 vs 32, winner=blue, win=15 vs 130, draw=37, time=374/102709
183: reward=0.36 vs 74.23, recent_win=7 vs 33, winner=blue, win=15 vs 131, draw=37, time=435/103144
184: reward=1.89 vs 72.22, recent_win=7 vs 34, winner=blue, win=15 vs 132, draw=37, time=487/103631
185: reward=0.36 vs 0.00, recent_win=7 vs 34, winner=draw, win=15 vs 132, draw=38, time=377/104007
186: reward=2.19 vs 78.30, recent_win=7 vs 34, winner=blue, win=15 vs 133, draw=38, time=342/104349
187: reward=1.84 vs 78.34, recent_win=7 vs 34, winner=blue, win=15 vs 134, draw=38, time=341/104689
188: reward=72.42 vs 0.00, recent_win=8 vs 33, winner=red, win=16 vs 134, draw=38, time=535/105224
189: reward=0.38 vs 0.00, recent_win=8 vs 32, winner=draw, win=16 vs 134, draw=39, time=424/105648
190: reward=0.39 vs 73.17, recent_win=8 vs 32, winner=blue, win=16 vs 135, draw=39, time=462/106109
191: reward=0.32 vs 83.26, recent_win=7 vs 33, winner=blue, win=16 vs 136, draw=39, time=245/106354
192: reward=1.33 vs 75.60, recent_win=6 vs 34, winner=blue, win=16 vs 137, draw=39, time=402/106755
193: reward=0.31 vs 83.50, recent_win=6 vs 34, winner=blue, win=16 vs 138, draw=39, time=240/106996
194: reward=1.86 vs 77.92, recent_win=6 vs 34, winner=blue, win=16 vs 139, draw=39, time=350/107345
195: reward=0.33 vs 82.55, recent_win=6 vs 34, winner=blue, win=16 vs 140, draw=39, time=258/107603
196: reward=0.34 vs 78.44, recent_win=6 vs 34, winner=blue, win=16 vs 141, draw=39, time=339/107941
197: reward=2.95 vs 55.14, recent_win=6 vs 34, winner=blue, win=16 vs 142, draw=39, time=1365/109306
198: reward=76.71 vs 0.00, recent_win=7 vs 34, winner=red, win=17 vs 142, draw=39, time=384/109690
199: reward=2.98 vs 72.00, recent_win=7 vs 35, winner=blue, win=17 vs 143, draw=39, time=493/110182
200: reward=2.21 vs 73.87, recent_win=6 vs 36, winner=blue, win=17 vs 144, draw=39, time=444/110626
201: reward=0.34 vs 0.00, recent_win=6 vs 35, winner=draw, win=17 vs 144, draw=40, time=328/110953
202: reward=1.87 vs 75.56, recent_win=6 vs 35, winner=blue, win=17 vs 145, draw=40, time=403/111356
203: reward=2.46 vs 74.19, recent_win=6 vs 35, winner=blue, win=17 vs 146, draw=40, time=436/111792
204: reward=0.35 vs 77.41, recent_win=6 vs 36, winner=blue, win=17 vs 147, draw=40, time=361/112152
205: reward=2.19 vs 76.92, recent_win=5 vs 37, winner=blue, win=17 vs 148, draw=40, time=372/112524
206: reward=1.37 vs 76.29, recent_win=5 vs 37, winner=blue, win=17 vs 149, draw=40, time=386/112909
207: reward=0.37 vs 0.00, recent_win=4 vs 37, winner=draw, win=17 vs 149, draw=41, time=410/113319
208: reward=0.36 vs 0.00, recent_win=4 vs 37, winner=draw, win=17 vs 149, draw=42, time=361/113680
209: reward=2.51 vs 66.22, recent_win=4 vs 37, winner=blue, win=17 vs 150, draw=42, time=676/114355
210: reward=2.24 vs 70.21, recent_win=4 vs 37, winner=blue, win=17 vs 151, draw=42, time=544/114899
211: reward=78.86 vs 0.00, recent_win=5 vs 36, winner=red, win=18 vs 151, draw=42, time=359/115257
212: reward=0.35 vs 78.25, recent_win=5 vs 36, winner=blue, win=18 vs 152, draw=42, time=343/115600
213: reward=85.31 vs 0.00, recent_win=6 vs 35, winner=red, win=19 vs 152, draw=42, time=231/115831
214: reward=1.86 vs 77.19, recent_win=6 vs 36, winner=blue, win=19 vs 153, draw=42, time=366/116197
215: reward=0.30 vs 0.00, recent_win=6 vs 36, winner=draw, win=19 vs 153, draw=43, time=210/116407
216: reward=0.33 vs 80.81, recent_win=5 vs 37, winner=blue, win=19 vs 154, draw=43, time=291/116698
217: reward=1.84 vs 80.81, recent_win=5 vs 37, winner=blue, win=19 vs 155, draw=43, time=291/116989
218: reward=2.69 vs 68.87, recent_win=4 vs 38, winner=blue, win=19 vs 156, draw=43, time=585/117573
219: reward=1.95 vs 61.72, recent_win=4 vs 39, winner=blue, win=19 vs 157, draw=43, time=871/118444
220: reward=0.34 vs 0.00, recent_win=4 vs 38, winner=draw, win=19 vs 157, draw=44, time=321/118764
221: reward=76.03 vs 0.00, recent_win=5 vs 37, winner=red, win=20 vs 157, draw=44, time=445/119209
222: reward=3.21 vs 56.83, recent_win=5 vs 37, winner=blue, win=20 vs 158, draw=44, time=1194/120403
223: reward=0.32 vs 77.69, recent_win=5 vs 37, winner=blue, win=20 vs 159, draw=44, time=355/120758
224: reward=1.84 vs 0.00, recent_win=5 vs 36, winner=draw, win=20 vs 159, draw=45, time=330/121087
225: reward=2.44 vs 77.28, recent_win=5 vs 36, winner=blue, win=20 vs 160, draw=45, time=364/121451
226: reward=2.21 vs 75.90, recent_win=5 vs 36, winner=blue, win=20 vs 161, draw=45, time=395/121846
227: reward=1.84 vs 80.86, recent_win=5 vs 36, winner=blue, win=20 vs 162, draw=45, time=290/122135
228: reward=2.46 vs 0.00, recent_win=5 vs 35, winner=draw, win=20 vs 162, draw=46, time=444/122579
229: reward=0.34 vs 0.00, recent_win=5 vs 34, winner=draw, win=20 vs 162, draw=47, time=318/122896
230: reward=2.66 vs 0.00, recent_win=5 vs 34, winner=draw, win=20 vs 162, draw=48, time=443/123339
231: reward=0.35 vs 76.92, recent_win=5 vs 34, winner=blue, win=20 vs 163, draw=48, time=372/123711
232: reward=2.20 vs 77.41, recent_win=5 vs 34, winner=blue, win=20 vs 164, draw=48, time=361/124071
233: reward=0.31 vs 84.19, recent_win=5 vs 34, winner=blue, win=20 vs 165, draw=48, time=228/124299
234: reward=0.34 vs 80.09, recent_win=5 vs 34, winner=blue, win=20 vs 166, draw=48, time=305/124604
235: reward=1.85 vs 77.64, recent_win=5 vs 35, winner=blue, win=20 vs 167, draw=48, time=356/124959
236: reward=79.61 vs 0.00, recent_win=6 vs 34, winner=red, win=21 vs 167, draw=48, time=361/125320
237: reward=0.33 vs 81.22, recent_win=6 vs 34, winner=blue, win=21 vs 168, draw=48, time=283/125603
238: reward=2.66 vs 75.90, recent_win=5 vs 35, winner=blue, win=21 vs 169, draw=48, time=395/125997
239: reward=1.48 vs 57.42, recent_win=5 vs 36, winner=blue, win=21 vs 170, draw=48, time=1145/127142
240: reward=0.38 vs 73.01, recent_win=5 vs 36, winner=blue, win=21 vs 171, draw=48, time=466/127607
241: reward=2.20 vs 76.51, recent_win=5 vs 36, winner=blue, win=21 vs 172, draw=48, time=381/127988
242: reward=1.34 vs 79.35, recent_win=5 vs 36, winner=blue, win=21 vs 173, draw=48, time=320/128308
243: reward=2.18 vs 79.35, recent_win=5 vs 36, winner=blue, win=21 vs 174, draw=48, time=320/128627
244: reward=0.32 vs 0.00, recent_win=5 vs 35, winner=draw, win=21 vs 174, draw=49, time=243/128871
245: reward=1.35 vs 76.65, recent_win=5 vs 35, winner=blue, win=21 vs 175, draw=49, time=378/129248
246: reward=2.95 vs 73.87, recent_win=5 vs 35, winner=blue, win=21 vs 176, draw=49, time=444/129692
247: reward=0.39 vs 71.82, recent_win=5 vs 35, winner=blue, win=21 vs 177, draw=49, time=498/130190
248: reward=1.85 vs 77.92, recent_win=4 vs 36, winner=blue, win=21 vs 178, draw=49, time=350/130539
249: reward=0.37 vs 0.00, recent_win=4 vs 35, winner=draw, win=21 vs 178, draw=50, time=436/130975
250: reward=0.37 vs 0.00, recent_win=4 vs 34, winner=draw, win=21 vs 178, draw=51, time=377/131351
251: reward=1.36 vs 77.73, recent_win=4 vs 35, winner=blue, win=21 vs 179, draw=51, time=354/131705
252: reward=67.73 vs 0.00, recent_win=5 vs 34, winner=red, win=22 vs 179, draw=51, time=729/132434
253: reward=1.35 vs 0.00, recent_win=5 vs 33, winner=draw, win=22 vs 179, draw=52, time=453/132886
254: reward=0.35 vs 76.96, recent_win=5 vs 33, winner=blue, win=22 vs 180, draw=52, time=371/133257
