196: reward=0.00 vs 91.67, recent_win=0 vs 50, winner=blue, win=4 vs 192, draw=0, time=109/16822
197: reward=0.00 vs 94.27, recent_win=0 vs 50, winner=blue, win=4 vs 193, draw=0, time=73/16895
198: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 194, draw=0, time=76/16971
199: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=4 vs 195, draw=0, time=107/17078
200: reward=0.00 vs 92.44, recent_win=0 vs 50, winner=blue, win=4 vs 196, draw=0, time=98/17176
201: reward=0.00 vs 94.60, recent_win=0 vs 50, winner=blue, win=4 vs 197, draw=0, time=69/17245
202: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 198, draw=0, time=76/17321
203: reward=0.00 vs 94.43, recent_win=0 vs 50, winner=blue, win=4 vs 199, draw=0, time=71/17392
204: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 200, draw=0, time=76/17468
205: reward=0.00 vs 95.45, recent_win=0 vs 50, winner=blue, win=4 vs 201, draw=0, time=57/17525
206: reward=0.00 vs 94.84, recent_win=0 vs 50, winner=blue, win=4 vs 202, draw=0, time=65/17591
207: reward=0.00 vs 92.37, recent_win=0 vs 50, winner=blue, win=4 vs 203, draw=0, time=99/17690
208: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=4 vs 204, draw=0, time=81/17771
209: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 205, draw=0, time=76/17847
210: reward=0.00 vs 94.76, recent_win=0 vs 50, winner=blue, win=4 vs 206, draw=0, time=66/17914
211: reward=0.00 vs 94.52, recent_win=0 vs 50, winner=blue, win=4 vs 207, draw=0, time=70/17983
212: reward=0.00 vs 95.38, recent_win=0 vs 50, winner=blue, win=4 vs 208, draw=0, time=58/18041
213: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 209, draw=0, time=76/18118
214: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=4 vs 210, draw=0, time=72/18190
215: reward=0.00 vs 92.29, recent_win=0 vs 50, winner=blue, win=4 vs 211, draw=0, time=100/18290
216: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 212, draw=0, time=76/18366
217: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=4 vs 213, draw=0, time=107/18474
218: reward=0.00 vs 94.93, recent_win=0 vs 50, winner=blue, win=4 vs 214, draw=0, time=64/18538
219: reward=0.00 vs 94.11, recent_win=0 vs 50, winner=blue, win=4 vs 215, draw=0, time=75/18613
220: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 216, draw=0, time=74/18687
221: reward=0.00 vs 94.60, recent_win=0 vs 50, winner=blue, win=4 vs 217, draw=0, time=69/18756
222: reward=0.00 vs 94.11, recent_win=0 vs 50, winner=blue, win=4 vs 218, draw=0, time=75/18831
223: reward=0.00 vs 95.15, recent_win=0 vs 50, winner=blue, win=4 vs 219, draw=0, time=61/18892
224: reward=0.00 vs 94.19, recent_win=0 vs 50, winner=blue, win=4 vs 220, draw=0, time=74/18966
225: reward=0.00 vs 94.52, recent_win=0 vs 50, winner=blue, win=4 vs 221, draw=0, time=70/19036
226: reward=0.00 vs 94.11, recent_win=0 vs 50, winner=blue, win=4 vs 222, draw=0, time=75/19111
227: reward=0.00 vs 91.52, recent_win=0 vs 50, winner=blue, win=4 vs 223, draw=0, time=111/19223
228: reward=0.00 vs 92.99, recent_win=0 vs 50, winner=blue, win=4 vs 224, draw=0, time=91/19313
229: reward=0.00 vs 94.03, recent_win=0 vs 50, winner=blue, win=4 vs 225, draw=0, time=76/19389
230: reward=0.00 vs 94.35, recent_win=0 vs 50, winner=blue, win=4 vs 226, draw=0, time=72/19461
