163: reward=0.18 vs 94.24, winner=blue, r_win=7:23:20, win=13:87:63, time=104/19301
164: reward=2.08 vs 2.63, winner=draw, r_win=7:23:20, win=13:87:64, time=159/19460
165: reward=1.21 vs 91.10, winner=blue, r_win=7:24:19, win=13:88:64, time=151/19611
166: reward=2.08 vs 2.63, winner=draw, r_win=7:24:19, win=13:88:65, time=164/19775
167: reward=0.18 vs 91.27, winner=blue, r_win=7:24:19, win=13:89:65, time=148/19923
168: reward=1.68 vs 94.29, winner=blue, r_win=6:25:19, win=13:90:65, time=104/20027
169: reward=1.15 vs 1.50, winner=draw, r_win=6:24:20, win=13:90:66, time=100/20127
170: reward=0.21 vs 2.08, winner=draw, r_win=6:23:21, win=13:90:67, time=104/20231
171: reward=1.21 vs 93.88, winner=blue, r_win=6:23:21, win=13:91:67, time=113/20344
172: reward=0.18 vs 1.83, winner=draw, r_win=6:23:21, win=13:91:68, time=92/20435
173: reward=1.18 vs 93.30, winner=blue, r_win=6:23:21, win=13:92:68, time=118/20553
174: reward=0.15 vs 1.83, winner=draw, r_win=6:23:21, win=13:92:69, time=105/20658
175: reward=0.10 vs 93.20, winner=blue, r_win=5:24:21, win=13:93:69, time=110/20769
176: reward=0.15 vs 1.50, winner=draw, r_win=5:23:22, win=13:93:70, time=87/20856
177: reward=1.23 vs 91.11, winner=blue, r_win=5:23:22, win=13:94:70, time=157/21013
178: reward=1.21 vs 93.35, winner=blue, r_win=5:24:21, win=13:95:70, time=120/21133
179: reward=1.23 vs 92.55, winner=blue, r_win=4:25:21, win=13:96:70, time=135/21267
180: reward=0.21 vs 2.08, winner=draw, r_win=3:25:22, win=13:96:71, time=99/21367
181: reward=1.21 vs 92.63, winner=blue, r_win=3:25:22, win=13:97:71, time=128/21495
182: reward=1.18 vs 92.97, winner=blue, r_win=3:26:21, win=13:98:71, time=119/21614
183: reward=2.34 vs 90.60, winner=blue, r_win=3:26:21, win=13:99:71, time=170/21784
184: reward=1.18 vs 1.93, winner=draw, r_win=3:25:22, win=13:99:72, time=92/21876
185: reward=1.73 vs 92.41, winner=blue, r_win=3:25:22, win=13:100:72, time=137/22012
186: reward=1.21 vs 2.18, winner=draw, r_win=3:24:23, win=13:100:73, time=110/22123
187: reward=94.89 vs 1.00, winner=red, r_win=4:23:23, win=14:100:73, time=80/22202
188: reward=1.18 vs 1.93, winner=draw, r_win=4:22:24, win=14:100:74, time=95/22297
189: reward=1.21 vs 91.97, winner=blue, r_win=4:23:23, win=14:101:74, time=138/22435
190: reward=1.71 vs 93.73, winner=blue, r_win=4:24:22, win=14:102:74, time=115/22550
191: reward=2.09 vs 90.73, winner=blue, r_win=4:25:21, win=14:103:74, time=165/22715
192: reward=1.15 vs 1.50, winner=draw, r_win=4:24:22, win=14:103:75, time=92/22807
193: reward=1.18 vs 1.93, winner=draw, r_win=4:24:22, win=14:103:76, time=98/22905
194: reward=0.15 vs 1.50, winner=draw, r_win=4:24:22, win=14:103:77, time=80/22985
195: reward=0.18 vs 1.83, winner=draw, r_win=4:23:23, win=14:103:78, time=106/23091
196: reward=1.18 vs 93.53, winner=blue, r_win=4:23:23, win=14:104:78, time=115/23206
197: reward=0.21 vs 92.93, winner=blue, r_win=4:24:22, win=14:105:78, time=126/23332
198: reward=1.73 vs 2.43, winner=draw, r_win=4:23:23, win=14:105:79, time=119/23451
199: reward=1.15 vs 1.60, winner=draw, r_win=3:23:24, win=14:105:80, time=93/23544
200: reward=0.15 vs 93.76, winner=blue, r_win=3:24:23, win=14:106:80, time=107/23651
201: reward=0.18 vs 1.83, winner=draw, r_win=3:24:23, win=14:106:81, time=122/23773
202: reward=1.18 vs 92.48, winner=blue, r_win=3:25:22, win=14:107:81, time=130/23903
203: reward=2.06 vs 90.94, winner=blue, r_win=3:25:22, win=14:108:81, time=160/24063
204: reward=93.51 vs 1.83, winner=red, r_win=4:25:21, win=15:108:81, time=107/24170
205: reward=1.73 vs 2.43, winner=draw, r_win=4:25:21, win=15:108:82, time=132/24303
206: reward=0.18 vs 1.83, winner=draw, r_win=4:24:22, win=15:108:83, time=132/24435
207: reward=1.21 vs 2.18, winner=draw, r_win=4:23:23, win=15:108:84, time=121/24557
208: reward=92.10 vs 2.27, winner=red, r_win=5:23:22, win=16:108:84, time=137/24693
209: reward=1.73 vs 2.43, winner=draw, r_win=5:22:23, win=16:108:85, time=142/24836
210: reward=1.21 vs 2.38, winner=draw, r_win=4:22:24, win=16:108:86, time=131/24967
211: reward=1.68 vs 2.23, winner=draw, r_win=3:22:25, win=16:108:87, time=117/25084
212: reward=1.23 vs 2.38, winner=draw, r_win=3:22:25, win=16:108:88, time=138/25222
213: reward=1.21 vs 2.18, winner=draw, r_win=3:21:26, win=16:108:89, time=127/25349
214: reward=1.18 vs 93.91, winner=blue, r_win=3:22:25, win=16:109:89, time=109/25458
215: reward=1.15 vs 92.67, winner=blue, r_win=3:22:25, win=16:110:89, time=124/25582
216: reward=1.71 vs 91.52, winner=blue, r_win=3:23:24, win=16:111:89, time=148/25730
217: reward=1.18 vs 1.83, winner=draw, r_win=3:22:25, win=16:111:90, time=104/25833
218: reward=0.10 vs 1.00, winner=draw, r_win=3:21:26, win=16:111:91, time=105/25938
219: reward=0.15 vs 1.00, winner=draw, r_win=3:21:26, win=16:111:92, time=97/26035
220: reward=1.18 vs 93.30, winner=blue, r_win=3:22:25, win=16:112:92, time=118/26154
221: reward=0.18 vs 1.83, winner=draw, r_win=3:21:26, win=16:112:93, time=108/26262
222: reward=0.18 vs 1.83, winner=draw, r_win=3:21:26, win=16:112:94, time=82/26344
223: reward=94.13 vs 1.93, winner=red, r_win=4:20:26, win=17:112:94, time=98/26442
224: reward=1.15 vs 1.60, winner=draw, r_win=4:20:26, win=17:112:95, time=130/26572
225: reward=0.18 vs 1.83, winner=draw, r_win=4:19:27, win=17:112:96, time=97/26669
226: reward=1.21 vs 2.18, winner=draw, r_win=4:19:27, win=17:112:97, time=118/26787
227: reward=1.18 vs 93.00, winner=blue, r_win=4:19:27, win=17:113:97, time=122/26910
228: reward=93.02 vs 2.18, winner=red, r_win=5:18:27, win=18:113:97, time=115/27025
229: reward=2.09 vs 90.37, winner=blue, r_win=5:18:27, win=18:114:97, time=173/27198
230: reward=1.21 vs 92.09, winner=blue, r_win=5:19:26, win=18:115:97, time=139/27337
231: reward=0.10 vs 1.00, winner=draw, r_win=5:18:27, win=18:115:98, time=72/27409
232: reward=2.04 vs 92.64, winner=blue, r_win=5:18:27, win=18:116:98, time=131/27540
233: reward=0.21 vs 92.56, winner=blue, r_win=5:18:27, win=18:117:98, time=131/27671
234: reward=1.21 vs 92.85, winner=blue, r_win=5:19:26, win=18:118:98, time=125/27796
235: reward=1.75 vs 91.01, winner=blue, r_win=5:19:26, win=18:119:98, time=161/27957
236: reward=1.73 vs 91.64, winner=blue, r_win=5:20:25, win=18:120:98, time=149/28106
237: reward=1.73 vs 92.41, winner=blue, r_win=4:21:25, win=18:121:98, time=137/28243
238: reward=2.33 vs 91.55, winner=blue, r_win=4:22:24, win=18:122:98, time=153/28396
239: reward=1.68 vs 1.98, winner=draw, r_win=4:21:25, win=18:122:99, time=159/28555
240: reward=2.06 vs 2.43, winner=draw, r_win=4:20:26, win=18:122:100, time=128/28683
241: reward=1.10 vs 1.00, winner=draw, r_win=4:19:27, win=18:122:101, time=85/28768
242: reward=0.10 vs 1.00, winner=draw, r_win=4:19:27, win=18:122:102, time=70/28838
243: reward=93.38 vs 1.93, winner=red, r_win=5:19:26, win=19:122:102, time=109/28947
244: reward=1.18 vs 2.18, winner=draw, r_win=5:19:26, win=19:122:103, time=118/29065
245: reward=1.10 vs 1.10, winner=draw, r_win=5:19:26, win=19:122:104, time=104/29169
246: reward=1.73 vs 92.00, winner=blue, r_win=5:19:26, win=19:123:104, time=146/29314
247: reward=1.21 vs 91.88, winner=blue, r_win=5:19:26, win=19:124:104, time=142/29457
248: reward=0.18 vs 1.83, winner=draw, r_win=5:19:26, win=19:124:105, time=88/29545
249: reward=1.21 vs 93.95, winner=blue, r_win=5:20:25, win=19:125:105, time=111/29657
250: reward=0.18 vs 1.83, winner=draw, r_win=5:19:26, win=19:125:106, time=77/29734
251: reward=0.21 vs 2.08, winner=draw, r_win=5:19:26, win=19:125:107, time=137/29871
252: reward=93.89 vs 1.50, winner=red, r_win=6:18:26, win=20:125:107, time=102/29972
253: reward=1.68 vs 93.91, winner=blue, r_win=6:18:26, win=20:126:107, time=109/30082
254: reward=0.18 vs 1.83, winner=draw, r_win=5:18:27, win=20:126:108, time=91/30172
255: reward=92.98 vs 1.60, winner=red, r_win=6:18:26, win=21:126:108, time=115/30287
256: reward=0.18 vs 1.83, winner=draw, r_win=6:18:26, win=21:126:109, time=93/30380
257: reward=2.08 vs 2.63, winner=draw, r_win=6:18:26, win=21:126:110, time=136/30516
258: reward=0.10 vs 1.00, winner=draw, r_win=5:18:27, win=21:126:111, time=84/30600
259: reward=1.21 vs 2.18, winner=draw, r_win=5:18:27, win=21:126:112, time=127/30726
260: reward=1.18 vs 93.83, winner=blue, r_win=5:19:26, win=21:127:112, time=110/30837
261: reward=1.18 vs 1.83, winner=draw, r_win=5:19:26, win=21:127:113, time=135/30971
262: reward=1.23 vs 2.38, winner=draw, r_win=5:19:26, win=21:127:114, time=153/31125
263: reward=2.31 vs 2.66, winner=draw, r_win=5:19:26, win=21:127:115, time=157/31281
264: reward=94.72 vs 1.50, winner=red, r_win=6:18:26, win=22:127:115, time=89/31371
265: reward=1.71 vs 91.52, winner=blue, r_win=6:18:26, win=22:128:115, time=148/31519
266: reward=1.71 vs 94.11, winner=blue, r_win=6:18:26, win=22:129:115, time=109/31628
267: reward=0.15 vs 1.50, winner=draw, r_win=6:18:26, win=22:129:116, time=85/31713
268: reward=93.41 vs 2.23, winner=red, r_win=7:18:25, win=23:129:116, time=114/31827
269: reward=2.29 vs 91.03, winner=blue, r_win=7:19:24, win=23:130:116, time=159/31986
270: reward=2.06 vs 92.44, winner=blue, r_win=7:19:24, win=23:131:116, time=137/32122
271: reward=1.21 vs 93.60, winner=blue, r_win=7:20:23, win=23:132:116, time=114/32236
272: reward=1.75 vs 91.72, winner=blue, r_win=7:21:22, win=23:133:116, time=150/32386
273: reward=0.21 vs 2.08, winner=draw, r_win=6:21:23, win=23:133:117, time=122/32509
