202: reward=87.26 vs 0.00, recent_win=23 vs 26, winner=red, win=63 vs 136, draw=3, time=176/23232
203: reward=0.00 vs 92.84, recent_win=22 vs 27, winner=blue, win=63 vs 137, draw=3, time=93/23325
204: reward=0.00 vs 94.03, recent_win=21 vs 28, winner=blue, win=63 vs 138, draw=3, time=76/23401
205: reward=89.73 vs 0.00, recent_win=22 vs 27, winner=red, win=64 vs 138, draw=3, time=138/23539
206: reward=0.00 vs 92.06, recent_win=22 vs 27, winner=blue, win=64 vs 139, draw=3, time=104/23643
207: reward=87.81 vs 0.00, recent_win=22 vs 27, winner=red, win=65 vs 139, draw=3, time=168/23810
208: reward=0.00 vs 93.47, recent_win=22 vs 27, winner=blue, win=65 vs 140, draw=3, time=84/23894
209: reward=0.00 vs 92.06, recent_win=21 vs 28, winner=blue, win=65 vs 141, draw=3, time=104/23998
210: reward=89.30 vs 0.00, recent_win=22 vs 27, winner=red, win=66 vs 141, draw=3, time=144/24143
211: reward=0.00 vs 94.27, recent_win=21 vs 28, winner=blue, win=66 vs 142, draw=3, time=73/24216
212: reward=88.73 vs 0.00, recent_win=22 vs 27, winner=red, win=67 vs 142, draw=3, time=153/24369
213: reward=0.00 vs 93.95, recent_win=21 vs 28, winner=blue, win=67 vs 143, draw=3, time=77/24446
214: reward=0.00 vs 91.29, recent_win=20 vs 29, winner=blue, win=67 vs 144, draw=3, time=115/24561
215: reward=0.00 vs 93.71, recent_win=20 vs 29, winner=blue, win=67 vs 145, draw=3, time=81/24642
216: reward=0.00 vs 95.76, recent_win=20 vs 29, winner=blue, win=67 vs 146, draw=3, time=53/24695
217: reward=0.00 vs 89.95, recent_win=20 vs 29, winner=blue, win=67 vs 147, draw=3, time=135/24830
218: reward=86.65 vs 0.00, recent_win=20 vs 29, winner=red, win=68 vs 147, draw=3, time=186/25016
219: reward=0.00 vs 91.60, recent_win=20 vs 29, winner=blue, win=68 vs 148, draw=3, time=110/25126
220: reward=87.06 vs 0.00, recent_win=21 vs 29, winner=red, win=69 vs 148, draw=3, time=180/25306
221: reward=0.00 vs 91.14, recent_win=21 vs 29, winner=blue, win=69 vs 149, draw=3, time=117/25423
222: reward=0.00 vs 93.95, recent_win=21 vs 29, winner=blue, win=69 vs 150, draw=3, time=77/25500
223: reward=0.00 vs 92.06, recent_win=21 vs 29, winner=blue, win=69 vs 151, draw=3, time=104/25604
224: reward=0.00 vs 92.06, recent_win=20 vs 30, winner=blue, win=69 vs 152, draw=3, time=104/25708
225: reward=0.00 vs 85.27, recent_win=20 vs 30, winner=blue, win=69 vs 153, draw=3, time=209/25917
226: reward=0.00 vs 94.84, recent_win=19 vs 31, winner=blue, win=69 vs 154, draw=3, time=65/25983
227: reward=0.00 vs 93.63, recent_win=18 vs 32, winner=blue, win=69 vs 155, draw=3, time=82/26065
228: reward=0.00 vs 95.53, recent_win=18 vs 32, winner=blue, win=69 vs 156, draw=3, time=56/26121
229: reward=90.10 vs 0.00, recent_win=19 vs 31, winner=red, win=70 vs 156, draw=3, time=132/26253
230: reward=0.00 vs 91.75, recent_win=18 vs 32, winner=blue, win=70 vs 157, draw=3, time=108/26361
231: reward=88.30 vs 0.00, recent_win=19 vs 31, winner=red, win=71 vs 157, draw=3, time=160/26521
232: reward=0.00 vs 95.68, recent_win=18 vs 32, winner=blue, win=71 vs 158, draw=3, time=54/26575
233: reward=87.20 vs 0.00, recent_win=19 vs 31, winner=red, win=72 vs 158, draw=3, time=177/26753
234: reward=0.00 vs 95.30, recent_win=19 vs 31, winner=blue, win=72 vs 159, draw=3, time=59/26812
235: reward=0.00 vs 95.53, recent_win=18 vs 32, winner=blue, win=72 vs 160, draw=3, time=56/26868
236: reward=0.00 vs 94.03, recent_win=18 vs 32, winner=blue, win=72 vs 161, draw=3, time=76/26945
237: reward=0.00 vs 95.08, recent_win=17 vs 33, winner=blue, win=72 vs 162, draw=3, time=62/27007
238: reward=0.00 vs 92.76, recent_win=17 vs 33, winner=blue, win=72 vs 163, draw=3, time=94/27101
239: reward=0.00 vs 94.19, recent_win=16 vs 34, winner=blue, win=72 vs 164, draw=3, time=74/27175
240: reward=0.00 vs 91.29, recent_win=16 vs 34, winner=blue, win=72 vs 165, draw=3, time=115/27290
241: reward=0.00 vs 89.15, recent_win=15 vs 35, winner=blue, win=72 vs 166, draw=3, time=147/27436
242: reward=0.00 vs 95.68, recent_win=15 vs 35, winner=blue, win=72 vs 167, draw=3, time=54/27491
243: reward=0.00 vs 94.03, recent_win=14 vs 36, winner=blue, win=72 vs 168, draw=3, time=76/27567
244: reward=0.00 vs 89.95, recent_win=14 vs 36, winner=blue, win=72 vs 169, draw=3, time=135/27701
245: reward=0.00 vs 95.00, recent_win=13 vs 37, winner=blue, win=72 vs 170, draw=3, time=63/27765
246: reward=0.00 vs 90.99, recent_win=12 vs 38, winner=blue, win=72 vs 171, draw=3, time=119/27884
247: reward=0.00 vs 89.30, recent_win=12 vs 38, winner=blue, win=72 vs 172, draw=3, time=144/28028
248: reward=0.00 vs 89.66, recent_win=11 vs 39, winner=blue, win=72 vs 173, draw=3, time=139/28167
249: reward=0.00 vs 90.84, recent_win=10 vs 40, winner=blue, win=72 vs 174, draw=3, time=121/28289
250: reward=0.00 vs 92.13, recent_win=10 vs 40, winner=blue, win=72 vs 175, draw=3, time=103/28391
251: reward=89.95 vs 0.00, recent_win=11 vs 39, winner=red, win=73 vs 175, draw=3, time=135/28526
252: reward=0.00 vs 94.43, recent_win=10 vs 40, winner=blue, win=73 vs 176, draw=3, time=71/28597
253: reward=0.00 vs 90.99, recent_win=10 vs 40, winner=blue, win=73 vs 177, draw=3, time=119/28716
254: reward=0.00 vs 92.13, recent_win=10 vs 40, winner=blue, win=73 vs 178, draw=3, time=103/28819
255: reward=89.30 vs 0.00, recent_win=10 vs 40, winner=red, win=74 vs 178, draw=3, time=144/28963
256: reward=89.23 vs 0.00, recent_win=11 vs 39, winner=red, win=75 vs 178, draw=3, time=146/29109
