153: reward=2.40 vs 97.73, reward_evade=3.00 vs 7.00, win=6 vs 80, recent_win=3 vs 29, draw=67, winner=blue, time=133/18229
154: reward=0.50 vs 96.68, reward_evade=1.00 vs 6.00, win=6 vs 81, recent_win=3 vs 30, draw=67, winner=blue, time=136/18364
155: reward=94.43 vs 2.90, reward_evade=2.00 vs 3.00, win=7 vs 81, recent_win=4 vs 29, draw=67, winner=red, time=107/18472
156: reward=-0.30 vs 4.00, reward_evade=2.00 vs 3.00, win=7 vs 81, recent_win=4 vs 29, draw=68, winner=draw, time=81/18552
157: reward=0.40 vs 95.17, reward_evade=1.00 vs 6.00, win=7 vs 82, recent_win=4 vs 29, draw=68, winner=blue, time=159/18711
158: reward=0.40 vs 96.39, reward_evade=1.00 vs 6.00, win=7 vs 83, recent_win=4 vs 29, draw=68, winner=blue, time=140/18851
159: reward=3.40 vs 97.41, reward_evade=4.00 vs 7.00, win=7 vs 84, recent_win=4 vs 30, draw=68, winner=blue, time=137/18988
160: reward=0.70 vs 97.47, reward_evade=1.00 vs 5.00, win=7 vs 85, recent_win=4 vs 31, draw=68, winner=blue, time=109/19097
161: reward=-0.40 vs 5.00, reward_evade=1.00 vs 4.00, win=7 vs 85, recent_win=4 vs 30, draw=69, winner=draw, time=104/19201
162: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=7 vs 85, recent_win=4 vs 30, draw=70, winner=draw, time=71/19272
163: reward=1.40 vs 6.80, reward_evade=2.00 vs 6.00, win=7 vs 85, recent_win=4 vs 29, draw=71, winner=draw, time=157/19428
164: reward=-0.50 vs 97.22, reward_evade=2.00 vs 6.00, win=7 vs 86, recent_win=3 vs 30, draw=71, winner=blue, time=129/19558
165: reward=1.60 vs 98.01, reward_evade=2.00 vs 5.00, win=7 vs 87, recent_win=3 vs 31, draw=71, winner=blue, time=102/19659
166: reward=-0.40 vs 97.63, reward_evade=2.00 vs 5.00, win=7 vs 88, recent_win=3 vs 32, draw=71, winner=blue, time=107/19766
167: reward=0.50 vs 96.97, reward_evade=1.00 vs 6.00, win=7 vs 89, recent_win=3 vs 32, draw=71, winner=blue, time=131/19898
168: reward=2.50 vs 97.99, reward_evade=3.00 vs 6.00, win=7 vs 90, recent_win=3 vs 32, draw=71, winner=blue, time=115/20012
169: reward=4.30 vs 96.77, reward_evade=5.00 vs 8.00, win=7 vs 91, recent_win=3 vs 32, draw=71, winner=blue, time=159/20171
170: reward=3.20 vs 97.14, reward_evade=4.00 vs 9.00, win=7 vs 92, recent_win=3 vs 32, draw=71, winner=blue, time=172/20343
171: reward=2.40 vs 97.80, reward_evade=3.00 vs 7.00, win=7 vs 93, recent_win=3 vs 33, draw=71, winner=blue, time=132/20476
172: reward=0.50 vs 97.05, reward_evade=1.00 vs 6.00, win=7 vs 94, recent_win=3 vs 33, draw=71, winner=blue, time=130/20606
173: reward=-0.20 vs 2.00, reward_evade=1.00 vs 2.00, win=7 vs 94, recent_win=3 vs 33, draw=72, winner=draw, time=68/20673
174: reward=-0.40 vs 96.44, reward_evade=1.00 vs 5.00, win=7 vs 95, recent_win=3 vs 34, draw=72, winner=blue, time=126/20799
175: reward=2.40 vs 97.95, reward_evade=3.00 vs 7.00, win=7 vs 96, recent_win=3 vs 34, draw=72, winner=blue, time=130/20929
176: reward=1.50 vs 97.73, reward_evade=2.00 vs 7.00, win=7 vs 97, recent_win=2 vs 35, draw=72, winner=blue, time=133/21063
177: reward=0.80 vs 2.00, reward_evade=2.00 vs 2.00, win=7 vs 97, recent_win=2 vs 34, draw=73, winner=draw, time=72/21135
178: reward=-0.30 vs 4.00, reward_evade=2.00 vs 3.00, win=7 vs 97, recent_win=2 vs 33, draw=74, winner=draw, time=92/21226
179: reward=1.70 vs 2.90, reward_evade=1.00 vs 3.00, win=7 vs 97, recent_win=2 vs 33, draw=75, winner=draw, time=92/21318
180: reward=0.60 vs 4.90, reward_evade=1.00 vs 4.00, win=7 vs 97, recent_win=2 vs 32, draw=76, winner=draw, time=94/21412
181: reward=2.30 vs 97.14, reward_evade=3.00 vs 8.00, win=7 vs 98, recent_win=2 vs 33, draw=76, winner=blue, time=158/21570
182: reward=-0.40 vs 97.57, reward_evade=3.00 vs 5.00, win=7 vs 99, recent_win=2 vs 33, draw=76, winner=blue, time=109/21679
183: reward=0.90 vs 1.00, reward_evade=3.00 vs 1.00, win=7 vs 99, recent_win=2 vs 32, draw=77, winner=draw, time=65/21744
184: reward=2.30 vs 96.69, reward_evade=3.00 vs 9.00, win=7 vs 100, recent_win=2 vs 32, draw=77, winner=blue, time=181/21925
185: reward=1.50 vs 97.02, reward_evade=2.00 vs 6.00, win=7 vs 101, recent_win=2 vs 32, draw=77, winner=blue, time=129/22054
186: reward=0.60 vs 4.00, reward_evade=2.00 vs 4.00, win=7 vs 101, recent_win=1 vs 32, draw=78, winner=draw, time=96/22150
187: reward=2.50 vs 97.54, reward_evade=3.00 vs 6.00, win=7 vs 102, recent_win=1 vs 33, draw=78, winner=blue, time=121/22272
188: reward=0.60 vs 97.55, reward_evade=1.00 vs 5.00, win=7 vs 103, recent_win=1 vs 33, draw=78, winner=blue, time=108/22380
189: reward=1.50 vs 96.29, reward_evade=2.00 vs 6.00, win=7 vs 104, recent_win=1 vs 33, draw=78, winner=blue, time=140/22520
190: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=7 vs 104, recent_win=1 vs 32, draw=79, winner=draw, time=131/22651
191: reward=0.40 vs 94.89, reward_evade=1.00 vs 6.00, win=7 vs 105, recent_win=1 vs 32, draw=79, winner=blue, time=163/22814
192: reward=0.60 vs 5.90, reward_evade=1.00 vs 5.00, win=7 vs 105, recent_win=1 vs 31, draw=80, winner=draw, time=110/22925
193: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=7 vs 105, recent_win=1 vs 30, draw=81, winner=draw, time=76/23001
194: reward=4.10 vs 96.29, reward_evade=5.00 vs 10.00, win=7 vs 106, recent_win=1 vs 30, draw=81, winner=blue, time=201/23202
