219: reward=14.25 vs 26.30, win=28 vs 137, recent_win=11 vs 25, draw=54, winner=blue, time=1509/177141
220: reward=15.95 vs 37.00, win=28 vs 137, recent_win=11 vs 24, draw=55, winner=draw, time=1800/178941
221: reward=0.80 vs 2.90, win=28 vs 138, recent_win=11 vs 24, draw=55, winner=blue, time=108/179049
222: reward=5.00 vs 11.40, win=28 vs 139, recent_win=11 vs 24, draw=55, winner=blue, time=599/179648
223: reward=10.15 vs 17.80, win=28 vs 140, recent_win=11 vs 24, draw=55, winner=blue, time=1153/180801
224: reward=17.85 vs 28.90, win=28 vs 140, recent_win=11 vs 23, draw=56, winner=draw, time=1800/182601
225: reward=7.10 vs 20.10, win=28 vs 141, recent_win=11 vs 23, draw=56, winner=blue, time=953/183554
226: reward=13.70 vs 37.20, win=28 vs 141, recent_win=11 vs 23, draw=57, winner=draw, time=1800/185354
227: reward=17.80 vs 28.90, win=28 vs 141, recent_win=11 vs 23, draw=58, winner=draw, time=1800/187154
228: reward=18.10 vs 25.90, win=28 vs 141, recent_win=10 vs 23, draw=59, winner=draw, time=1800/188954
229: reward=0.80 vs 2.00, win=29 vs 141, recent_win=10 vs 23, draw=59, winner=red, time=82/189036
230: reward=6.60 vs 13.20, win=29 vs 142, recent_win=10 vs 23, draw=59, winner=blue, time=628/189664
231: reward=1.00 vs 13.20, win=30 vs 142, recent_win=11 vs 23, draw=59, winner=red, time=64/189728
232: reward=18.35 vs 21.90, win=30 vs 142, recent_win=10 vs 23, draw=60, winner=draw, time=1800/191528
233: reward=11.00 vs 19.70, win=30 vs 143, recent_win=10 vs 24, draw=60, winner=blue, time=1199/192727
234: reward=0.90 vs 2.90, win=30 vs 144, recent_win=10 vs 25, draw=60, winner=blue, time=107/192834
235: reward=18.10 vs 23.90, win=30 vs 144, recent_win=10 vs 24, draw=61, winner=draw, time=1800/194634
236: reward=4.40 vs 3.50, win=30 vs 145, recent_win=10 vs 24, draw=61, winner=blue, time=365/194999
237: reward=7.30 vs 17.10, win=30 vs 146, recent_win=9 vs 25, draw=61, winner=blue, time=915/195913
238: reward=0.80 vs 1.00, win=31 vs 146, recent_win=10 vs 25, draw=61, winner=red, time=71/195984
239: reward=18.75 vs 18.90, win=31 vs 146, recent_win=10 vs 24, draw=62, winner=draw, time=1800/197784
240: reward=17.95 vs 27.90, win=31 vs 146, recent_win=10 vs 23, draw=63, winner=draw, time=1800/199584
241: reward=17.50 vs 27.90, win=31 vs 146, recent_win=10 vs 22, draw=64, winner=draw, time=1800/201385
242: reward=0.80 vs 3.90, win=31 vs 147, recent_win=9 vs 23, draw=64, winner=blue, time=108/201493
243: reward=17.35 vs 30.90, win=31 vs 147, recent_win=9 vs 22, draw=65, winner=draw, time=1800/203293
244: reward=17.10 vs 27.90, win=31 vs 147, recent_win=8 vs 22, draw=66, winner=draw, time=1800/205093
245: reward=1.00 vs 27.90, win=32 vs 147, recent_win=9 vs 21, draw=66, winner=red, time=69/205162
246: reward=4.30 vs 6.50, win=32 vs 148, recent_win=9 vs 22, draw=66, winner=blue, time=400/205561
247: reward=15.10 vs 22.20, win=32 vs 148, recent_win=9 vs 22, draw=67, winner=draw, time=1800/207362
248: reward=4.65 vs 2.70, win=33 vs 148, recent_win=10 vs 22, draw=67, winner=red, time=357/207718
249: reward=18.15 vs 23.90, win=33 vs 148, recent_win=9 vs 22, draw=68, winner=draw, time=1800/209518
250: reward=0.85 vs 1.00, win=34 vs 148, recent_win=10 vs 22, draw=68, winner=red, time=83/209601
251: reward=17.65 vs 30.90, win=34 vs 148, recent_win=10 vs 21, draw=69, winner=draw, time=1800/211401
252: reward=6.65 vs 12.20, win=34 vs 149, recent_win=9 vs 22, draw=69, winner=blue, time=646/212047
